Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
1cce1444-eba3-57d1-9505-f459c08fa8b1,checklist-flat,Stormwater BG,,Stormwater BG,,
083eb9c4-fa14-554f-aec0-197652d9497a,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,
,holdpoint,Notify and gain permit from principal contractor / client for inspection,,,,
ca296f48-5010-50b6-a3a2-23677a2db500,checkpoint,Latest specifications and standards nominated in ITP,,,,
7aeeba92-0cf6-54f9-a401-eb28f9fdb45a,checkpoint,Setout & alignment as per latest available drawing (include revision below),,,,
8ca56149-6b29-57d8-8293-31db936a7304,textbox,Drawing & revision number(s),,,,
f0f55c81-bcaf-59f1-9682-e6c957a7d1eb,checkpoint,Correct approved materials as per sample register,,,,
4455766f-3eac-55cc-8857-4db1f20983f2,checkpoint,Excavation undertaken & no issues (Any issues comment below),,,,
c1585814-0959-5d58-87ab-4cfc872605cc,checkpoint,Pipe bedding material (as per AS 500),,,,
ce322e6d-7f63-5bf6-a477-b5f1a151ddbc,checkpoint,"Grades, fittings & joints installed to standards",,,,
1744ed1f-3d17-58c0-b87e-b5de1228f3d4,checkpoint,Pipe clean out via water flush,,,,
3e501ca0-b9ec-5db7-953d-7fa76b2c0e91,checkpoint,Inspection and Testing Prior to Concealment to AS 3500.2 section 13,,,,
0ccc95fa-921b-541d-b612-6d25903a866c,checkpoint,Builder sign off prior concealment,,,,
ae7f647a-2d28-5dfc-b8c3-04ca6f8e6945,checkpoint,Seal open ends with caps & high light to avoid damage,,,,
e38f2575-5287-591a-80c5-9b90bda8b0c4,checkpoint,Backfill & Compaction of Material (As per Specification / Geotechnical report),,,,
9d169dc9-90d0-5c2c-b845-d76ae7914da8,checkpoint,CCTV on completion & record results (If applicable),,,,
a51941bf-58da-55a5-9a43-3db39640fbb2,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,
e4bf5831-c911-5182-b503-b026a2e04767,note,Passing above includes Builder sign-off,,,,
adaf729f-81d1-54b9-80e1-562f8a57570b,tickbox,Area clean,,,,
