Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
691e7e04-cf86-4d4f-bbfe-a81e53648455,checklist,Ardex - Quality Assurance Checklist - Butynol,,Ardex - Quality Assurance Checklist - Butynol,,
0f1edb23-7f2c-4f8b-acae-3d9ecf916f3d,section,BUTYNOL CHECKLIST,,,,
57445131-150e-4a94-b095-974cbe6446e3,checkpoint,"Correct ARDEX material, colour, and thickness has been ordered",,,,
91b51a34-c2c5-5439-adf1-cf80bdc482dc,textbox,Product code:,,,,
88068605-98a9-50f1-a474-298b3092cc19,textbox,Batch no:,,,,
ab926b16-07e5-566e-b681-1bd28daf4883,textbox,Colour:,,,,
4190b3dd-db54-59ed-93d2-45f03785ac72,textbox,Thickness:,,,,
5c8e839e-1dc5-4c7f-a0ce-7ca4b3cc49de,checkpoint,"Work areas are clean and tidy and conforms with the relevant ARDEX Substrate Specification documents, completed seperately",,,,
5a9d94fa-a5e0-4744-81d8-349729f4fae3,checkpoint,Substrate moisture content acceptable?,,,,
8b48d0d5-079f-4a5a-8b81-978f734bce14,checkpoint,Install underflashing tape in correct locations,,,,
025be65f-fe5a-4451-9e13-c36e527a10af,checkpoint,Membrane laid over clean substrate using correct adhesive,,,,
844a02e3-fdac-49cf-bb74-34b2ac7b6db3,checkpoint,"Sheets well set out, parallel lines, laps running correct direction and to correct fall",,,,
9bcbdd8c-9625-4409-8f37-6846fbd23f7b,checkpoint,Membrane lying flat on substrate with no bubbling,,,,
f326349a-72ec-4739-8121-e33aaf980015,checkpoint,"Laps primed and taped, with clean edges, no excess seam tape, glue overspray",,,,
344e362c-d0d4-4941-a135-893676c3b190,checkpoint,Outlets detailed to correct ARDEX specification,,,,
a897f351-c953-42f6-9a0d-e90df99cbdd4,checkpoint,Membrane termination completed to ARDEX details,,,,
42442f5d-c744-4845-83c1-6d603c8343b4,checkpoint,Post-installation rubbish removed from work area,,,,
78b780e5-3b3a-47b9-bed2-b38c2af104c8,checkpoint,Conforms with ARDEX specifications,,,,
f3c006fc-68ff-4f5d-bdc3-d51c57a49cd8,checkpoint,Any nonstandard details installed as per pre-approved specifications,,,,
3aad7344-54c1-5183-a903-8fe592a9f101,note,Attach approved drawing,,,,
ae567745-f38b-4c24-9e37-71a2cc36c8e1,checkpoint,ARDEX membrane installation completed to specification,,,,
2292599a-50df-5e77-8ed9-989ebe03069d,textbox,Ambient Temperature:,,,°C,
3bbec52e-be3a-5237-8232-9d885362894c,textbox,Substrate Temperature:,,,°C,
37604044-b9fa-5e8a-b177-3cadeca99752,date,Installation Date:,,,,
47045a48-1a9d-56e7-a96d-43ee2def56d4,textbox,Installation Time:,,,–– / –– / ––,
2f6b00fe-83b5-5262-a5ca-abf05e3a1193,dropdown,am / pm,"am,pm",,,
158803cf-23d5-5ab7-a402-8993e2bce9a2,textbox,Issues to note or to be raised during installation:,,,,
ea78a5e4-fe9a-5ea0-9739-8b40345a37c1,textbox,Remedial action required:,,,,
95ddda98-fe8b-58c3-bf6d-89d9ed18f4a2,textbox,Note of damaged areas repaired: (include photographs),,,,
d4f8f002-e57e-41f7-b680-52437c1945e1,section,FINAL SIGN OFF,,,,
4ea8fba2-0211-41db-ab39-f592e10abf4d,checkpoint,FINAL SIGN OFF,,,,
af99ecff-b981-48bc-8913-974b98c5b0a2,signoff,Applicator / Main Contractor / Owner Signatures:,,,,
,,,,,,
698275b9-ad3f-435e-bac3-f00b3d17812c,checklist,Ardex - Quality Assurance Checklist - Damp Proofing Membranes,,Ardex - Quality Assurance Checklist - Damp Proofing Membranes,,
29d96b82-2956-459e-9940-e99042163417,section,CONSTRUCTION,,,,
3856af97-032f-4086-8c04-1f90096f4884,checkpoint,CONSTRUCTION,,,,
5ab391e8-46b1-5a32-90c0-048866e27a1b,dropdown,Horizonal Substrate:,"New concrete,Old concrete,Sand BlindingCompacted Mud Slab,Other",,,
52cd6266-917e-56fa-b829-87a37012db0e,textbox,Other:,,,,
d86c25f5-b543-58e8-93b4-4b3ff0f6f4f4,dropdown,Wall Substrate:,"New concrete,Old concrete,Concrete Block,Polyblock,Other",,,
4ed016da-deec-542a-83ec-141c80775026,textbox,Other:,,,,
3ce58b62-2eb6-51d1-82a6-dafe9f5a803e,note,New Concrete Details:,,,,
d35eec8d-6cd7-5166-ba22-0563d7737b20,note,Floors,,,,
da91298d-87b3-5bb5-83ec-a0de13f07b91,date,Date concrete poured:,,,,
dbad03c7-2618-5cf6-9036-c5773353a638,note,Walls,,,,
708239f9-556f-52ce-8428-23d91c19288f,date,Date concrete poured:,,,,
9d53346e-c244-44f6-beaf-6889b65fe01a,section,SUBSTRATE PREPARATION,,,,
d8f9b4e8-528d-41ff-9c6c-55a978521d51,checkpoint,SUBSTRATE PREPARATION,,,,
ebd58e8c-3dc2-5d7d-9810-f4a77aabdb96,button,Any surface contamination?,"Yes,No",,,
52e062aa-dd03-53f2-84d2-b49fbdebb670,button,Curing compound?,"Yes,No",,,
18c58fe9-689f-53f9-82eb-9796855672c8,dropdown,Surface Preparation:,"Captive Shotblasting,Diamond Grinding,Concrete Planer,Concrete Scabbler,Other",,,
fdf40b2e-9f0b-5745-9884-e48dde630769,textbox,Other:,,,,
7c940401-ca7c-5ac2-893e-965e58cab875,dropdown,Substrate Cracks/Joints:,"Filled,Slip Tape/Bandage,Injection,Other",,,
7311d61e-fd63-5547-a3a5-066f76a34bd7,textbox,Other,,,,
07dad1d2-b035-5b0a-95d8-3fda57850424,dropdown,Prefill/Substrate Repair Required:,"Spalling,Substrate Deviation,None",,,
0e120da7-f744-5f8a-bc9e-84a86db163ef,button,Wall substrate installed in accordance with manufacturers instruction?,"Yes,No",,,
9312fd7c-7c14-5bc6-bc95-3716009beff8,button,Surface Struck Smooth / Rendered?,"Yes,No",,,
4cf24c86-253e-5471-a9e4-48bae22d003b,button,Coving Installed?,"Yes,No",,,
04b20f9b-ddbb-510d-b68e-55eabd740abf,textbox,Product Installed?,,,,
6feff138-7b4c-5f8b-b484-3084910317ac,button,Edges Radiused Min 5mm and Underflashed?,"Yes,No",,,
5c2e3827-c96e-5473-b10c-4f0c36ff7fb9,button,Method of Termination?,"Chase Flashing,Pressure Bar,Other",,,
5650a4eb-144a-561a-81b3-b92d49a9fd58,textbox,Other:,,,,
5bf4fe01-824c-432a-8fcd-32afcbc1e985,checkpoint,Surface Preparation Contractor:,,,,
2d928a1f-04f8-5a83-a3d9-f4cddbc58238,textbox,Name:,,,,
da67aa51-7795-57f4-9dbb-b6cf07057bac,textbox,Site Supervisor:,,,,
d1cc0245-59dd-5950-b320-3c8200c6de9a,date,Date Completed:,,,,
af609121-b993-4326-888c-af57acd8f5c4,signoff,Signed:,,,,
5a75e1bb-4f93-47b6-8d54-401f1f069e10,checkpoint,Surface Preparation: Contractor Acceptance,,,,
733788bf-10a1-51f9-91e1-de2721af30b9,textbox,Installation Supervisor:,,,,
00f85233-057c-5ae6-a206-2b13484d20e8,date,Date of Acceptance:,,,,
b5d26979-6710-48e7-8dae-1eb898c3ef28,signoff,Signed:,,,,
1ad479d2-5475-4e65-83d9-66f6a0ff6b59,checkpoint,Client Acceptance:,,,,
cf1b7830-44be-5cca-b9ae-6eaef43b57b8,textbox,Name:,,,,
d8c7ad48-e8f5-51d9-b9ed-116fdc424fe8,textbox,Site Supervisor:,,,,
bec22364-625b-5cf6-aa97-188bc3dd6eca,date,Date Completed:,,,,
eaf0b13b-6c00-44d8-8194-a99310061259,signoff,Signed:,,,,
f02e7129-f704-4278-81f1-f4e22c18064e,section,SUBSTRATE RELATIVE HUMIDITY,,,,
03602eed-94c0-4250-b553-f176c483441d,checkpoint,SUBSTRATE RELATIVE HUMIDITY,,,,
6cced1a7-f620-5424-b765-a245e1d00dc7,tickbox,Substrate RH tested?,,,,
ab50204f-589b-56f5-8d86-e0d32b009f31,textbox,Substrate RH:,,,%,
9a021653-dae4-5215-a772-006305015f79,date,Date:,,,,
1ad81dc8-f7b2-58f1-9a2d-92257b3b9acf,textbox,Time:,,,–– / –– / ––,
12df404d-0747-5c9d-bd56-c0d4c9564ce9,dropdown,am / pm,"am,pm",,,
58aee1ff-ee1c-4922-a272-ed4968dbfa1f,section,PRIMERS,,,,
dd8d007b-4ce2-454c-a7e6-559542f94d9e,checkpoint,PRIMERS,,,,
299dbd80-8e49-5275-b7d0-7e7ac8505a5b,dropdown,Product Used:,"ARDEX WPM 240 (solvent based),ARDEX WPM 247 (water based),Other",,,
29e77aaf-9ef7-5c1a-8954-75689ad5fcc6,textbox,Coverage Rate Achieved:,,,,
f91dc753-4684-58dc-b18b-bd20bd01ffd3,button,Under Flashings?,"Yes,No",,,
2c3ee8c6-7922-51f8-bd19-5597a1a34861,dropdown,Installed to:,"Horizontal / Vertical Corners,Penetrations",,,
