Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,Install QA,
,Rows,,,,
,,West Zone 1,dynamic,West Zone 1,Install QA
,,West Zone 2,dynamic,West Zone 2,Install QA
,Columns,,,,
,,Details,,Details,
,,Lifting and Quality Checks,,Lifting and Quality Checks,
,,Post install check,,Post install check,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Detailed Progress,,,,,
,Scope,,,Install QA,
,Rows,,,,
,,West Zone 1,dynamic,West Zone 1,Install QA
,,West Zone 2,dynamic,West Zone 2,Install QA
,Columns,,,,
,,Details Complete,,Details Complete,Details
,,Watpac supervisor,Watpac supervisor,Details Complete,Details
,,Precast Supplier,Precast Supplier,Details Complete,Details
,,Rigging Company,Rigging Company,Details Complete,Details
,,Rigging Supervisor,Rigging Supervisor,Details Complete,Details
,,Crane Supplier,Crane Supplier,Details Complete,Details
,,Birth Cert (QA),,Birth Cert (QA) Provided,Lifting and Quality Checks
,,Panel Visual inspection,,"Panel Visual inspection (any damage, check coulour and quality) take photo",Lifting and Quality Checks
,,Can panel be lifted as per rigging details,,Can the panel be lifted as per rigging details provided in shop drawing?,Lifting and Quality Checks
,,Strongbacks/fall protection need to be installed prior to lift,,"Do strongbacks, fall protection need to be installed prior to lift?",Lifting and Quality Checks
,,Set out check - Grid/level/plumb,,Set out check - Grid / level / plumb,Post install check
,,All Bracekts installed,,"All Bracekts installed with correct number of fixings, washers, packing shims etc",Post install check
,,Grouting,,Grouting,Post install check
,,Propping signed off temp works engineer,,Propping signed off temp works engineer,Post install check
,,Ready/OK to pour upper level,,Ready/OK to pour upper level,Post install check
