resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,202,,,,,,,,
Wet Area Tiling – Floors (G01-204),Wet Area Tiling – Walls,folder-with-checklists,,,,Bathroom,,,,,,,
Wet Area Tiling – Floors (G01-204),Wet Area Tiling – Walls,folder-with-checklists,,,,Ensuite ,,,,,,,
Wet Area Tiling – Floors (G01-204),Wet Area Tiling – Walls,folder-with-checklists,,,,Powder Room,,,,,,,
Wet Area Tiling – Floors (G01-204),Wet Area Tiling – Walls,folder-with-checklists,,,,Laundry,,,,,,,
Wet Area Tiling – Floors (G01-204),,folder-with-checklists,,,,Balcony,,,,,,,
,,step,,,203,,,,,,,,
Wet Area Tiling – Floors (G01-204),Wet Area Tiling – Walls,folder-with-checklists,,,,Bathroom,,,,,,,
Wet Area Tiling – Floors (G01-204),Wet Area Tiling – Walls,folder-with-checklists,,,,Ensuite ,,,,,,,
Wet Area Tiling – Floors (G01-204),Wet Area Tiling – Walls,folder-with-checklists,,,,Powder Room,,,,,,,
Wet Area Tiling – Floors (G01-204),Wet Area Tiling – Walls,folder-with-checklists,,,,Laundry,,,,,,,
Wet Area Tiling – Floors (G01-204),,folder-with-checklists,,,,Balcony,,,,,,,
,,step,,,204,,,,,,,,
Wet Area Tiling – Floors (G01-204),Wet Area Tiling – Walls,folder-with-checklists,,,,Bathroom,,,,,,,
Wet Area Tiling – Floors (G01-204),Wet Area Tiling – Walls,folder-with-checklists,,,,Ensuite ,,,,,,,
Wet Area Tiling – Floors (G01-204),Wet Area Tiling – Walls,folder-with-checklists,,,,Laundry,,,,,,,
Wet Area Tiling – Floors (G01-204),,folder-with-checklists,,,,Balcony,,,,,,,
