type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,ITP-085-AX-LOT-XXX - Desc,itp,,,,Yes,ITP 0085 - SUP INSTALLATION (HCC),
section,Lot Information,,,,,,,
checkpoint,1.0 Lot Information,,,,,,,
textbox,Lot Created On,,,,,,,
textbox,Lot Opened On,,,,,,,
textbox,Work Commenced On,,,,,,,
dropdown,Lot Type,CIL -  Civil Lot,,,,,,
textbox,From and To Chainage,,,,,,,
dropdown,Construction Element,PAVI - Paving,,,,,,
dropdown,Activity,SHUP – Shared User Path,,,,,,
dropdown,Design Package No,"1145-ACM-CVD-DPK-0002, 1145-ACM-CVD-DPK-0003, 1145-ACM-CVD-DPK-0004, 1145-ACM-CVP-DPK-0001, 1145-ACM-CVP-DPK-0002, 1145-ACM-CVR-DPK-0001, 1145-ACM-CVR-DPK-0002, 1145-ACM-CVR-DPK-0003, 1145-ACM-CVR-DPK-0004, 1145-ACM-ELE-DPK-0001, 1145-ACM-ELE-DPK-0002, 1145-ACM-LDE-DPK-0001, 1145-ACM-LDE-DPK-0002, 1145-ACM-SBA-DPK-0001, 1145-ACM-STR-DPK-0001, 1145-ACM-TSI-DPK-0001, 1145-ACM-TSI-DPK-0002, 1145-ACM-TSI-DPK-0003, 1145-ACM-TSI-DPK-0004, 1145-ACM-UTL-DPK-0001, 1145-ACM-UTL-DPK-0002",,,,,,
dropdown,Traffic Direction,"EB - Eastbound, ME - Median, NB - Northbound, SB - Southbound, WB - Westbound",,,,,,
textbox,Engineer Responsible,,,,,,,
textbox,comments,,,,,,,
section,1 - Preliminary Works,,,,,,,
checkpoint,1.1 - Check that current revision drawings are being used,,,,,,,
note,Frequency: Prior to Commencing,,,,,,,
note,- - - - - - - - -,,,,,,,
note,Acceptance Criteria: Issued For Construction (IFC) and latest available revision used,,,,,,,
note,- - - - - - - - -,,,,,,,
note,Reference Documents: Project Drawings / Drawing Register,,,,,,,
note,- - - - - - - - -,,,,,,,
note,Inspection / Test Method: Document review,,,,,,,
note,- - - - - - - - -,,,,,,,
note,Record of conformity: Latest Revision Drawings,,,,,,,
note,- - - - - - - - -,,,,,,,
note,AP,,,,,,,
note,- - - - - - - - -,,,,,,,
note,Responsibility: Site Engineer / Site Foreman,,,,,,,
checkpoint,1.2 - Bedding Material / Base Layer,,,,,,,
note,"Frequency: Once, for each mix design, prior to placement of material ",,,,,,,
note,- - - - - - - - -,,,,,,,
note,Acceptance Criteria: 20mm Class 3 bedding material conforms to specified requirements applicable to the class of product as detailed on the drawings.,,,,,,,
note,• Material is registered with VicRoads in accordance with Code of Practice RC500.02.,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,
note,- - - - - - - - -,,,,,,,
note,Reference Documents: IFC Drawings 703.21 812.04,,,,,,,
note,- - - - - - - - -,,,,,,,
note,Inspection / Test Method: Document Review,,,,,,,
note,- - - - - - - - -,,,,,,,
note,Record of conformity: Teambinder reference number,,,,,,,
note,- - - - - - - - -,,,,,,,
note,IP,,,,,,,
note,- - - - - - - - -,,,,,,,
note,Responsibility: Site Engineer Superintendent,,,,,,,
checkpoint,1.3 - Concrete Mix,,,,,,,
note,"Frequency: Once, for each mix design, prior to placement of concrete ",,,,,,,
note,- - - - - - - - -,,,,,,,
note,"Acceptance Criteria: Concrete mix meets strength, grade, and maximum aggregate size as detailed on the drawings.",,,,,,,
note,• Paving concrete mix conforms to AS1379. SUP concrete mix is registered with VicRoads.,,,,,,,
note,• No air entraining chemical admixtures shall be used without approval from the Nominated Authority.,,,,,,,
note,"• Concrete mix designs shall remain valid for 12 months from the date of registration, unless constituent materials and material proportions cease to comply with the specified requirements.",,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,
note,- - - - - - - - -,,,,,,,
