"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-flat",,"","checklist","Packing and Shipment","",,,1,"Yes","Packing and Shipment","377396d3-d0e1-446e-bbc7-77c1ae96089e"
"checkpoint-status",,"","checkpoint","Packing (WRAP using protective Film)"
"checkpoint-status",,"","checkpoint","Internal packing"
"checkpoint-status",,"","checkpoint","External packing (WRAP using protective film)"
"checkpoint-status",,"","checkpoint","Lifting and Loading"
"checkpoint-status",,"","checkpoint","Shipment"

"checklist-sectioned",,"","checklist","Electrical and Mechanical - Second Fix","",,,0,"Yes","Electrical and Mechanical - Second Fix","4afe5b93-270a-4156-9e2b-89cc1190a175"
"checkpoint-group",,"","section","Second Fix"
"checkpoint-status",,"","checkpoint","Install distribution board"
"checkpoint-status",,"","checkpoint","Install all powerpoints and light switchs"
"checkpoint-status",,"","checkpoint","Install all lights"
"checkpoint-status",,"","checkpoint","Install heat pumps"
"checkpoint-status",,"","checkpoint","Install heat towel rail"
"checkpoint-status",,"","checkpoint","Install mechanical ventalation/Bathroom/Laundary"
"checkpoint-status",,"","checkpoint","Install oven/hob"
"checkpoint-status",,"","checkpoint","Install wall heaters"
"checkpoint-status",,"","checkpoint","Install smoke alarm"
"checkpoint-group",,"","section","Testing"
"checkpoint-status",,"","checkpoint","Visual inspection"
"checkpoint-status",,"","checkpoint","Earth Resistance and Continuity inspection"
"checkpoint-status",,"","checkpoint","Insulation Resistance Inspection"
"checkpoint-status",,"","checkpoint","Polarity and Phase inspection"
"checkpoint-status",,"","checkpoint","Correct Circuit connection"
"checkpoint-status",,"","checkpoint","Final Functional Inspection"

"checklist-sectioned",,"","checklist","Electrical and Mechanical - First Fix","",,,1,"Yes","Electrical and Mechanical - First Fix","50b8817d-73ad-411f-98b7-507dbd43c2a3"
"checkpoint-group",,"","section","External Wall & Intertenancy wall & Marriage Wall - Structural/Fire"
"checkpoint-status",,"","checkpoint","Install all flush boxes"
"checkpoint-status",,"","checkpoint","Install all electrical cablings"
"checkpoint-status",,"","checkpoint","Install all electrical conduit and draw wire"
"checkpoint-group",,"","section","Internal Wall - Non structural"
"checkpoint-status",,"","checkpoint","Install all flush boxes"
"checkpoint-status",,"","checkpoint","Install all electrical cablings"
"checkpoint-status",,"","checkpoint","Install all electrical conduit and draw wire"
"checkpoint-group",,"","section","Ceiling Cassette"
"checkpoint-status",,"","checkpoint","Install all electrical cablings"
"checkpoint-group",,"","section","Module assembly"
"checkpoint-status",,"","checkpoint","Connect all walls/ceiling electrical cables"

"checklist-sectioned",,"","checklist","Plumbing and Drainage","",,,1,"Yes","Plumbing and Drainage","563b3b6d-b94a-4b2e-9c41-9d327e4efa51"
"checkpoint-group",,"","section","First Fix"
"checkpoint-status",,"","checkpoint","Floor Cassette"
"checkpoint-status",,"","checkpoint","Install pipes"
"checkpoint-status",,"","checkpoint","Module Assembly"
"checkpoint-status",,"","checkpoint","Install connections"
"checkpoint-group",,"","section","Second Fix"
"checkpoint-status",,"","checkpoint","Install floor waste"
"checkpoint-status",,"","checkpoint","Install toilet"
"checkpoint-status",,"","checkpoint","Install basin"
"checkpoint-status",,"","checkpoint","Install shower"
"checkpoint-status",,"","checkpoint","Install sink"
"checkpoint-status",,"","checkpoint","Install tub"
"checkpoint-group",,"","section","Testing"
"checkpoint-status",,"","checkpoint","Visual inspection"
"checkpoint-status",,"","checkpoint","Air test"
"checkpoint-status",,"","checkpoint","Water test"

"checklist-sectioned",,"","checklist","Exterior Work/Weather Tightness","",,,1,"Yes","Exterior Work/Weather Tightness","9a9640fb-d078-4e29-b956-d7e388200ff2"
"checkpoint-group",,"","section","Wraps, penetrations, windows / doors and flashings"
"checkpoint-status",,"","checkpoint","Rigid Air Barrier (RAB)"
"checkpoint-status",,"","checkpoint","Penetration"
"checkpoint-status",,"","checkpoint","Insulation"
"checkpoint-status",,"","checkpoint","GIB - WeatherLine"
"checkpoint-status",,"","checkpoint","Windows and doors"
"checkpoint-status",,"","checkpoint","Flashing and tapes"

"checklist-sectioned",,"","checklist","Structure","",,,1,"Yes","Structure","baf0985a-3287-4ce4-8f4d-7ee8138ee531"
"checkpoint-group",,"","section","Floor Cassette"
"checkpoint-status",,"","checkpoint","Structural Framing & Fixings"
"checkpoint-status",,"","checkpoint","Floor sheeting"
"checkpoint-group",,"","section","External Wall / Marriage Wall / Intertenancy Wall"
"checkpoint-status",,"","checkpoint","Structural Framing & Fixings"
"checkpoint-status",,"","checkpoint","Structural Sheet Bracing"
"checkpoint-status",,"","checkpoint","Fire Lining 1st Layer"
"checkpoint-status",,"","checkpoint","Fire Lining 2nd Layer"
"checkpoint-group",,"","section","Internal wall"
"checkpoint-status",,"","checkpoint","Structural Framing & Fixings"
"checkpoint-status",,"","checkpoint","Standard/Single Layer Gib board"
"checkpoint-group",,"","section","Ceiling cassette"
"checkpoint-status",,"","checkpoint","Structural Framing & Fixings"
"checkpoint-status",,"","checkpoint","Structural Sheet Bracing as required"
"checkpoint-status",,"","checkpoint","Fire Lining 1st Layer"
"checkpoint-status",,"","checkpoint","Fire Lining 2nd Layer"
"checkpoint-group",,"","section","Module Assembly"
"checkpoint-status",,"","checkpoint","Module Assembly"
"checkpoint-status",,"","checkpoint","Structural Fixing & Services as per fabrication plan"
"checkpoint-group",,"","section","Roof Assembly"
"checkpoint-status",,"","checkpoint","Roof Assembly"
"checkpoint-status",,"","checkpoint","Structural framing/trusses and Fixing"

"checklist-sectioned",,"","checklist","Passive Fire - First Fix","",,,1,"Yes","Passive Fire - First Fix","e42fe566-2592-4478-bf47-7a3a6548c6b8"
"checkpoint-group",,"","section","First Fix"
"checkpoint-status",,"","checkpoint","External wall & Intertenancy wall & Marriage wall"
"boolean","9e2730e5-41ca-5624-bd94-847c75d0c341","","tickbox","Install fire dampers, collars and sealants",,,
"checkpoint-status",,"","checkpoint","Ceiling Cassette"
"boolean","8f602e1c-4f13-5e6a-a54a-7239b0337625","","tickbox","Install fire dampers, collars and sealants",,,
"checkpoint-status",,"","checkpoint","Module Assembly"
"boolean","2f8857ab-a0f5-5592-ae98-a498fdeb2588","","tickbox","Install fire dampers, collars and sealants",,,
"checkpoint-group",,"","section","Testing"
"checkpoint-status",,"","checkpoint","Visual inspection and tag each penetration"
"checkpoint-status",,"","checkpoint","Random destruction testing"

"checklist-flat",,"","checklist","Interior Fitout","",,,1,"Yes","Interior Fitout","fb6f7541-181a-4477-b097-d91f51967a1f"
"checkpoint-status",,"","checkpoint","Complete internal wall lines"
"checkpoint-status",,"","checkpoint","Complete all passive fire requirements"
"checkpoint-status",,"","checkpoint","Mechanical ducts and ventilation (in ceiling casette)"
"checkpoint-status",,"","checkpoint","Fire Sprinkler System (in ceiling casette)"
"checkpoint-status",,"","checkpoint","False ceiling / bulkheads"
"checkpoint-status",,"","checkpoint","Gib stopping"
"checkpoint-status",,"","checkpoint","Acoustic floor"
"checkpoint-status",,"","checkpoint","Internal Doors"
"checkpoint-status",,"","checkpoint","Finishing Lines and Trims"
"checkpoint-status",,"","checkpoint","Painting"
"checkpoint-status",,"","checkpoint","Kitchen and bathroom joinery install"
"checkpoint-status",,"","checkpoint","Tiling and waterproofing: Bathroom"
"checkpoint-status",,"","checkpoint","Hardware"
"checkpoint-status",,"","checkpoint","Plumber to confirm second fix plumbing complete"
"checkpoint-status",,"","checkpoint","Electrician to confirm second fix electrical complete"
"checkpoint-status",,"","checkpoint","Floor coverings"

