Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Tower 1 (West) Progress,,,,,
,Scope,,,Tower 1 (West),
,Rows,,,,
,,Level 1,dynamic,Tower 1 (West),Level 1
,,Level 2,dynamic,Tower 1 (West),Level 2
,,Level 3,dynamic,Tower 1 (West),Level 3
,,Level 4,dynamic,Tower 1 (West),Level 4
,,Level 5,dynamic,Tower 1 (West),Level 5
,,Level 6,dynamic,Tower 1 (West),Level 6
,,Level 7,dynamic,Tower 1 (West),Level 7
,,Level 8,dynamic,Tower 1 (West),Level 8
,,Level 9,dynamic,Tower 1 (West),Level 9
,,Level 10,dynamic,Tower 1 (West),Level 10
,Columns,,,,
,,Door Frames installed,,Door Frames installed,Pre-Tiling Works Check
,,Shower tray installed,,Shower tray installed,Pre-Tiling Works Check
,,Floor grinding & primer,,Floor grinding and primer,Levelling
,,Apply levelling as per QA,,Apply levelling as per QA,Levelling
,,Floor light grinded & primed,,Floor light grinded & primed,Acoustic
,,Foam border installed,,Foam border installed,Acoustic
,,All relevant substrates primed,,All relevant substrates primed,Waterproofing
,,Silicone Screw heads,,Silicone Screw heads,Waterproofing
,,Bond breaker & Tape applied to internal corners,,Bond breaker & Tape applied to internal corners,Waterproofing
,,Application of WMP,,Application of WMP,Waterproofing
,,Flood test completed & passed,,Flood test has been completed and passed (photo taken),Waterproofing
,,Floor & channel wastes installed & siliconed,,Floor and channel wastes correctly installed and siliconed,Tiling
,,Tiling completed/checked/Supervisor signoff,,"Tiling completed, checked and Supervisor sign off",Tiling
,,,,,
Tower 2 (East) Progress,,,,,
,Scope,,,Tower 2 (East),
,Rows,,,,
,,Level 1,dynamic,Tower 2 (East),Level 1
,,Level 2,dynamic,Tower 2 (East),Level 2
,,Level 3,dynamic,Tower 2 (East),Level 3
,,Level 4,dynamic,Tower 2 (East),Level 4
,,Level 5,dynamic,Tower 2 (East),Level 5
,,Level 6,dynamic,Tower 2 (East),Level 6
,,Level 7,dynamic,Tower 2 (East),Level 7
,,Level 8,dynamic,Tower 2 (East),Level 8
,,Level 9,dynamic,Tower 2 (East),Level 9
,Columns,,,,
,,Door Frames installed,,Door Frames installed,Pre-Tiling Works Check
,,Shower tray installed,,Shower tray installed,Pre-Tiling Works Check
,,Floor grinding & primer,,Floor grinding and primer,Levelling
,,Apply levelling as per QA,,Apply levelling as per QA,Levelling
,,Floor light grinded & primed,,Floor light grinded & primed,Acoustic
,,Foam border installed,,Foam border installed,Acoustic
,,All relevant substrates primed,,All relevant substrates primed,Waterproofing
,,Silicone Screw heads,,Silicone Screw heads,Waterproofing
,,Bond breaker & Tape applied to internal corners,,Bond breaker & Tape applied to internal corners,Waterproofing
,,Application of WMP,,Application of WMP,Waterproofing
,,Flood test completed & passed,,Flood test has been completed and passed (photo taken),Waterproofing
,,Floor & channel wastes installed & siliconed,,Floor and channel wastes correctly installed and siliconed,Tiling
,,Tiling completed/checked/Supervisor signoff,,"Tiling completed, checked and Supervisor sign off",Tiling
,,,,,
Town Houses Progress,,,,,
,Scope,,,Town Houses,
,Rows,,,,
,,Block 1,dynamic,Town Houses,Block 1
,,Block 2,dynamic,Town Houses,Block 2
,Columns,,,,
,,Door Frames installed,,Door Frames installed,Pre-Tiling Works Check
,,Shower tray installed,,Shower tray installed,Pre-Tiling Works Check
,,Floor grinding & primer,,Floor grinding and primer,Levelling
,,Apply levelling as per QA,,Apply levelling as per QA,Levelling
,,Floor light grinded & primed,,Floor light grinded & primed,Acoustic
,,Foam border installed,,Foam border installed,Acoustic
,,All relevant substrates primed,,All relevant substrates primed,Waterproofing
,,Silicone Screw heads,,Silicone Screw heads,Waterproofing
,,Bond breaker & Tape applied to internal corners,,Bond breaker & Tape applied to internal corners,Waterproofing
,,Application of WMP,,Application of WMP,Waterproofing
,,Flood test completed & passed,,Flood test has been completed and passed (photo taken),Waterproofing
,,Floor & channel wastes installed & siliconed,,Floor and channel wastes correctly installed and siliconed,Tiling
,,Tiling completed/checked/Supervisor signoff,,"Tiling completed, checked and Supervisor sign off",Tiling
