Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Zone 1 - West,dynamic,zone 1 - west,
,,Zone 1 - East,dynamic,zone 1 - east,
,,Mid Zone,dynamic,mid zone,
,,Zone 2 Tirau Tie In,dynamic,Zone 2 Tirau Tie In,
,,Tie In Hamilton,dynamic,Tie In Hamilton,
,,Tie in Tauranga,dynamic,tie in tauranga,
,Columns,,,,
,,3.01 General,,3.01 general,
,,3.1. - Safety in Design Analysis,,3.1. - Safety in Design Analysis,
,,3.2. - Streetlighting Quality Assurance plan,,3.2. - Streetlighting Quality Assurance plan,
,,3.3. - Montrose Box (MSB-NMB),,3.3. - Montrose Box (MSB-NMB),
,,3.4. - Lighting Equipment,,3.4. - Lighting Equipment,
,,3.5. - Welding,,3.5. - Welding,
,,3.6. - Corrosion Protection,,3.6. - Corrosion Protection,
,,"3.7. - Painting, Protection and Identification",,"3.7. - Painting, Protection and Identification",
,,3.8. - Underground Services,,3.8. - Underground Services,
,,"4.01 Type A1 Imported Structural Fill (Granular Bulk Fill, GAP40, GAP65)",,"4.01 type a1 imported structural fill (granular bulk fill, gap40, gap65)",
,,4.02 16.35 CCTV Inspections,,4.02 16.35 cctv inspections,
,,4.02 As Built Records,,4.02 as built records,
,,4.02 Bioretention Soil Media,,4.02 bioretention soil media,
,,4.02 Catchpits (Structure),,4.02 catchpits (structure),
,,4.02 Construct Wetlands,,4.02 construct wetlands,
,,4.02 Design and Construct Outfall Access Track,,4.02 design and construct outfall access track,
,,4.02 Directional Drill HDPE Pipe,,4.02 directional drill hdpe pipe,
,,4.02 Drainage Media,,4.02 drainage media,
,,4.02 Establish and Reinstatement of the Temporary Access Track,,4.02 establish and reinstatement of the temporary access track,
,,4.02 Geofabric,,4.02 geofabric,
,,4.02 GeoGrid,,4.02 geogrid,
,,4.02 Headwalls and Wingwalls (Structure),,4.02 headwalls and wingwalls (structure),
,,4.02 Manholes (Including Catchpit Manholes),,4.02 manholes (including catchpit manholes),
,,4.02 Pipe Installation and Backfill,,4.02 pipe installation and backfill,
,,4.02 Place D50 250mm Rip Rap,,4.02 place d50 250mm rip rap,
,,4.02 Rip Rap Rock Flumes,,4.02 rip rap rock flumes,
,,4.02 Rock Riprap for Erosion Protection,,4.02 rock riprap for erosion protection,
,,4.02 Soakage Pits and Infiltration Trench,,4.02 soakage pits and infiltration trench,
,,4.02 Stormwater General,,4.02 stormwater general,
,,4.02 Stormwater Structures General,,4.02 stormwater structures general,
,,4.02 Subsoil Drain,,4.02 subsoil drain,
,,4.02 Swales,,4.02 swales,
,,4.02 Void Filled Riprap,,4.02 void filled riprap,
,,4.02 Wetland and Bioretention Access Track,,4.02 wetland and bioretention access track,
,,4.04 Type A3 (Site Won Landscaping Fill),,4.04 type a3 (site won landscaping fill),
,,4.05 Topsoil,,4.05 topsoil,
,,4.06 Geotextiles,,4.06 geotextiles,
,,4.09 Stormwater Aggregate Materials,,4.09 stormwater aggregate materials,
,,4.10 Stormwater Pipe Materials,,4.10 stormwater pipe materials,
,,4.18 Kerb and Channel Materials,,4.18 kerb and channel materials,
,,4.19 Retaining Wall Materials,,4.19 retaining wall materials,
,,4.20 Fall Protection Materials,,4.20 fall protection materials,
,,4.21 Underpass Materials,,4.21 underpass materials,
,,4.22 Underpass Materials,,4.22 underpass materials,
,,4.23 General Pavement Materials,,4.23 general pavement materials,
,,"4.24 AP65 Subgrade Improvement Layer (SIL) - B/2 Materials (Pavement Type A,B,C)",,"4.24 ap65 subgrade improvement layer (sil) - b/2 materials (pavement type a,b,c)",
,,4.25 WHAP65 Sub-Base - B/2 Materials (Pavement Type C),,4.25 whap65 sub-base - b/2 materials (pavement type c),
,,4.26 GAP65 Subgrade Improvement Layer - B/2 Materials,,4.26 gap65 subgrade improvement layer - b/2 materials,
,,"4.28 TNZ M/4 - AP40 Material Approval (Pavement Type C,D)",,"4.28 tnz m/4 - ap40 material approval (pavement type c,d)",
