"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"276b7294-2c3e-49d6-9a11-fb087d3c164b/1","checklist","Architectural - Install Checklist","","Architectural - Install Checklist",0,"cbac3228-8c4b-4276-9336-17394991033c"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"ea3d6673-04c1-449f-bed3-e1c4e521dc10","checkpoint","Has the window/door installation been completed?",,,,
"58624391-bb83-418b-86f7-d1a050950fa1","checkpoint","Is interior sealants installation neat and continuous.",,,,
"608e01f8-9938-41c3-8985-cb69340520c4","checkpoint","Is exterior sealants installation neat and continuous.",,,,
"924742a1-fc4c-4214-93d9-b04f7a951b72","checkpoint","Is sill flashing installed per plans and as detailed in the shop drawings?",,,,
"95586ff1-88a0-4459-9f3c-4839089bd639","checkpoint","Is head flashing installed per plans and as detailed in the shop drawings?",,,,
"f50a1755-f58e-49b5-9dd8-107e82b23e41","checkpoint","Are all window and doors working?",,,,
"a132952f-2c34-48cb-b63a-9c0913130724","checkpoint","All handles installed correctly?",,,,
"1f08028d-d06e-4627-b819-56f1e44d86bf","checkpoint","Are all the hardware installed correctly?",,,,
"7e688e77-0a25-4421-bb49-8e5f3d916834","checkpoint","Is the joinery free of scratches?",,,,
"e9842706-d393-46cb-8b09-6a8fd5050a2d","checkpoint","Is the joinery clean and tidy?",,,,
"61bdb548-1519-48a4-9ecd-e1a041acf9e2","checkpoint","Are Restrictor Stays fitted(Fully Fixed off & Silent operation)",,,,
"b099d86f-9d9e-4c0a-bc97-e97f14f46cd9","checkpoint","Hinge doors strikes adjusted and locking easily",,,,
"f3123364-ea9d-4679-b1d6-663887959928","checkpoint","Hinge doors 4 or 3 point lock operate easily",,,,
"8f2a8a7f-6419-4402-802e-d839d154ca05","checkpoint","Hinge doors and sliding doors - Bungs are fitted (every hole)",,,,
"e7131b52-3cb0-49de-a052-764eafbe9848","checkpoint","Sliding doors - panels are adjusted and locking easily",,,,
"4891bec7-1858-4bbf-ad04-1e68bdabf48c","checkpoint","Sliding doors - Strikes are adjusted",,,,
"5434f0d4-c840-4af8-a6a3-11355111d1e5","checkpoint","Sliding doors - Anti lift blocks and stops fitted properly",,,,
"df912ae6-89dd-4ca1-9847-8a9ab32903a4","checkpoint","Windows open, close, and lock smoothly without excessive force.",,,,
"02a44eac-838e-4f4f-99da-d91e120b243c","checkpoint","All operable windows have functional hardware (locks, latches, etc.)",,,,
"a27d1fe9-1e26-4859-a72c-3c28ebc22353","checkpoint","Proper spacing and clearances are maintained around the window units.",,,,
"2676e7d0-9d64-4c10-928b-f06033b101c6","checkpoint","Fasteners used are correct in type, size, and spacing",,,,
"4f7bb29d-f86d-4d3a-8e9a-c6f6a999e2db","checkpoint","End Caps Installed",,,,
"dd031850-1554-4f34-bd38-b45df47c8dab","checkpoint","Frames installed correctly?",,,,
"d00b32ec-7075-46a8-8fa5-1c9c48a1f8e2","checkpoint","Modules installed correctly?",,,,
"07720bdb-09b6-4226-b8e9-3bb30f606774","checkpoint","Drains are not blocked",,,,

"9417a6d9-feca-4c6b-aa72-ae62c76ec626/1","checklist","Box Fins - Install Checklist","","Box Fins - Install Checklist",0,"b08caf51-fd0c-4a4b-9ec4-ae9634d318ad"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"2d650d23-3260-4490-bb57-2633685bc49c","checkpoint","Has the window/door installation been completed?",,,,
"fccc2312-aa69-4328-9f5a-c45ca1efee95","checkpoint","Is interior sealants installation neat and continuous.",,,,
"1d44d8e1-a738-4412-9f5d-46c120b9fbce","checkpoint","Is exterior sealants installation neat and continuous.",,,,
"ec889a42-bbe7-4624-b3fa-c9e5d12188bb","checkpoint","Is sill flashing installed per plans and as detailed in the shop drawings?",,,,
"6222f13e-d4d2-4548-b018-a5e123d70d50","checkpoint","Are all window and doors working?",,,,
"ee4a8048-d242-485b-aee7-ef987dec12e9","checkpoint","Is the joinery free of scratches?",,,,
"909556e7-a71f-4b8a-b1dc-a2ab34625141","checkpoint","Is the joinery clean and tidy?",,,,
"e462fce5-b7fa-439f-9985-96cbef6950bb","checkpoint","Proper spacing and clearances are maintained around the window units.",,,,
"64537500-aea5-42b4-b592-efa4c50158a3","checkpoint","Fasteners used are correct in type, size, and spacing",,,,
"62df7d34-1d35-4f4c-a0f1-89f0ec544d7c","checkpoint","End Caps Installed",,,,
"2e38d0d7-9872-40ed-9842-e4c524879f3a","checkpoint","Brackets installed to modules as per Shop Drawings",,,,
"f6874d20-7032-4973-9eaa-9681b8bc0d6a","checkpoint","Brackets installed to Box fins as per Shop Drawings",,,,
"58fb17f9-d30b-4a2d-b18b-9c0ba6923ae7","checkpoint","Box Fin Spacing as per Shop Drawings",,,,
"5a5f5726-5e48-411f-a5ee-848dd8b234a2","checkpoint","Box Fin Alignment completed",,,,
"bffd4ab2-3482-4ae9-b7ba-d0d6af821799","checkpoint","Frames installed correctly?",,,,
"25ff3c66-31ec-4786-9d3c-af08bf86c542","checkpoint","Modules installed correctly?",,,,
"46e1c111-ce67-4f23-9202-2a24f0e367b3","checkpoint","Drains are not blocked",,,,

