"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Site QA - Overall Progress"
,"Scope",,
,"Rows"
,,"Civils / Ingrounds - Zone #1 (E-EXT1-10-NRL-01)","grouping","civils / ingrounds - zone #1 (e-ext1-10-nrl-01)"
,,"ITC-220.1 -TRENCH NO. #1",,"itc-220.1 -trench no. #1","civils / ingrounds","site qa"
,,"ITC-220.1 - TRENCH NO.#2",,"civils / ingrounds","itc-220.1 - trench no.#2","site qa"
,,"ITC-220.1 -TRENCH NO. #3",,"civils / ingrounds","itc-220.1 -trench no. #3","site qa"
,,"ITC-220.1 -TRENCH NO. #4",,"civils / ingrounds","site qa","itc-220.1 -trench no. #4"
,,"ITC-220.1 -TRENCH NO. #5",,"civils / ingrounds","itc-220.1 -trench no. #5","site qa"
,,"ITC-220.1 -TRENCH NO. #6",,"civils / ingrounds","itc-220.1 -trench no. #6","site qa"
,,"ITC-220.1 -TRENCH NO. #7",,"civils / ingrounds","itc-220.1 -trench no. #7","site qa"
,,"ITC-220.1 -TRENCH NO. #8",,"civils / ingrounds","itc-220.1 -trench no. #8","site qa"
,,"ITC-220.1 -TRENCH NO. #9",,"itc-220.1 -trench no. #9","civils / ingrounds","site qa"
,,"ITC-220.1 -TRENCH NO. #10",,"civils / ingrounds","itc-220.1 -trench no. #10","site qa"
,,"ITC-220.1 -TRENCH NO. #11",,"civils / ingrounds","itc-220.1 -trench no. #11","site qa"
,,"ITC-220.1 -TRENCH NO. #12",,"civils / ingrounds","itc-220.1 -trench no. #12","site qa"
,,"ITC-220.1 -TRENCH NO. #13",,"civils / ingrounds","itc-220.1 -trench no. #13","site qa"
,,"ITC-220.1 -TRENCH NO. #14",,"civils / ingrounds","site qa","itc-220.1 -trench no. #14"
,,"ITC-220.1 -TRENCH NO. #15",,"civils / ingrounds","itc-220.1 -trench no. #15","site qa"
,,"ITC-220.1 -TRENCH NO. #16",,"civils / ingrounds","itc-220.1 -trench no. #16","site qa"
,,"ITC-220.1 -TRENCH NO. #17",,"itc-220.1 -trench no. #17","civils / ingrounds","site qa"
,,"Pit installations - ITC-220.2 - PIT NO. #1",,"civils / ingrounds","itc-220.2 - pit no. #1","site qa","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #2",,"civils / ingrounds","site qa","itc-220.2 - pit no. #2","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #3",,"civils / ingrounds","site qa","itc-220.2 - pit no. #3","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #4",,"civils / ingrounds","site qa","pit installations","itc-220.2 - pit no. #4"
,,"Pit installations - ITC-220.2 - PIT NO. #5",,"civils / ingrounds","site qa","pit installations","itc-220.2 - pit no. #5"
,,"Pit installations - ITC-220.2 - PIT NO. #6",,"civils / ingrounds","site qa","pit installations","itc-220.2 - pit no. #6"
,,"Pit installations - ITC-220.2 - PIT NO. #7",,"itc-220.2 - pit no. #7","civils / ingrounds","site qa","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #8",,"civils / ingrounds","itc-220.2 - pit no. #8","site qa","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #9",,"civils / ingrounds","itc-220.2 - pit no. #9","site qa","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #10",,"civils / ingrounds","site qa","pit installations","itc-220.2 - pit no. #10"
,,"Pit installations - ITC-220.2 - PIT NO. #11",,"civils / ingrounds","site qa","itc-220.2 - pit no. #11","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #12",,"civils / ingrounds","site qa","itc-220.2 - pit no. #12","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #13",,"civils / ingrounds","itc-220.2 - pit no. #13","site qa","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #14",,"civils / ingrounds","itc-220.2 - pit no. #14","site qa","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #15",,"itc-220.2 - pit no. #15","civils / ingrounds","site qa","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #16",,"civils / ingrounds","site qa","pit installations","itc-220.2 - pit no. #16"
,,"Pit installations - ITC-220.2 - PIT NO. #17",,"civils / ingrounds","site qa","pit installations","itc-220.2 - pit no. #17"
,,"Pit installations - ITC-220.2 - PIT NO. #18",,"civils / ingrounds","site qa","pit installations","itc-220.2 - pit no. #18"
,,"Pit installations - ITC-220.2 - PIT NO. #19",,"civils / ingrounds","site qa","itc-220.2 - pit no. #19","pit installations"
,,"Pit installations - ITC-220.2 - PIT NO. #20",,"civils / ingrounds","site qa","pit installations","itc-220.2 - pit no. #20"
