"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
,"checklist-flat","Checklist tasks","","Checklist tasks",72,"f24efe32-06eb-4eb1-a710-44247b6d9a92"
,"checkpoint","Pre-existing conditions - 3 Photos and comments",,,,
,"checkpoint","Sprinkler Installation - 3 photos and comments",,,,
,"checkpoint","Speaker Installation - 1 photo and comment",,,,
,"checkpoint","Bulkhead Installation - 3 photos and comment",,,,
,"checkpoint","Fitoff Second Fix including escutcheons - 3 photos and comments",,,,
,"checkpoint","Patching and Painting - 2 photos and comment",,,,
,"checkpoint","Consultant Signoff",,,,
"a11b9551-877e-5005-9c97-b732cfda83fb","textbox","Name",,,,
,"signoff","Add signature",,,,

,"checklist-flat","Defect / Issue to be rectified","","ADD new defect / issue to be rectified [RENAME CHECKLIST TO LOCATION & DETAILS OF DEFECT]",0,"6cbd9a50-cfec-432f-b80a-1db719ea5e1e"
,"checkpoint","Upload photo of defect / issue to be rectified. Add comments if necessary.",,,,
,"checkpoint","Has issue been rectified / defect been closed out? Upload photo",,,,
"bab1d5a9-a3d7-58ff-a01f-4224a18aac6b","note","Only PASS once issue is rectified / defect is closed out",,,,

