Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Lot Register,,,,,
,Scope,,,,
,Rows,,,,
,Columns,,,,
,,Lot Information Complete,,lot information complete,
,,Lot Opened On,Lot Opened On,lot information complete,
,,Date of Works,Date of Works,lot information complete,
,,Lot Type,Lot Type,lot information complete,
,,Start Chainage,Start Chainage,lot information complete,
,,End Chainage,End Chainage,lot information complete,
,,Control Line,Control Line,lot information complete,
,,VERIFICATION POINTS,,verification,
,,WITNESS POINTS (ABERGELDIE),,witness point,
,,WITNESS POINT SIGN OFF (THIRD PARTY),,witness point sign off,
,,HOLD POINTS (ABERGELDIE),,hold point,
,,HOLD POINT SIGN OFF (THIRD PARTY),,hold point sign off,
,,Lot Verification Complete,,lot verification complete,
,,Lot Verified By:,Lot Verified By:,lot verification complete,
,,Lot Closed Date:,Lot Closed Date:,lot verification complete,
,,Submitted to Client,Submitted to Client,lot verification complete,
,,Reviewed by Client,Reviewed by Client,lot verification complete,
,,Submission Comments:,Submission Comments:,lot verification complete,
,,,,,
Hold Point Register,,,,,
,Scope,,,,
,Rows,,,,
,Columns,,,,
,,HOLD POINT (ABERGELDIE),,hold point,
,,HOLD POINT NUMBER:,HOLD POINT NUMBER:,hold point,
,,DATE SUBMITTED:,DATE SUBMITTED:,hold point,
,,SUBMITTED BY:,SUBMITTED BY:,hold point,
,,SPECIFICATION AND CLAUSE:,SPECIFICATION AND CLAUSE:,hold point,
,,HOLD POINT DESCRIPTION:,HOLD POINT DESCRIPTION:,hold point,
,,BRIEF NOTES:,BRIEF NOTES:,hold point,
,,HOLD POINT SIGN OFF (THIRD PARTY),,hold point sign off,
,,,,,
Witness Point Register,,,,,
,Scope,,,,
,Rows,,,,
,Columns,,,,
,,WITNESS POINT (ABERGELDIE),,witness point,
,,WITNESS POINT NUMBER:,WITNESS POINT NUMBER:,witness point,
,,DATE SUBMITTED:,DATE SUBMITTED:,witness point,
,,SUBMITTED BY:,SUBMITTED BY:,witness point,
,,SPECIFICATION AND CLAUSE:,SPECIFICATION AND CLAUSE:,witness point,
,,WITNESS POINT DESCRIPTION:,WITNESS POINT DESCRIPTION:,witness point,
,,BRIEF NOTES:,BRIEF NOTES:,witness point,
,,WITNESS POINT SIGN OFF (THIRD PARTY),,witness point sign off,
,,,,,
NCR Register,,,,,
,Scope,,,,
,Rows,,,,
,,Non-Conformance Reports (NCRs),dynamic,non-conformance reports (ncrs),
,Columns,,,,
,,Non-Conformance Report (Abergeldie),,non-conformance report,
,,NCR Number:,NCR Number:,non-conformance report,
,,Lot Number:,Lot Number:,non-conformance report,
,,NCR Description:,NCR Description:,non-conformance report,
,,NCR Resolution:,NCR Resolution:,non-conformance report,
,,NCR SIGN OFF (THIRD PARTY),,ncr sign off,
