"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-sectioned","ba678436-e227-4c6c-aa71-6bd685b804e0","","checklist","Cladding QA","",,,1,"Yes","Cladding QA","00bab70b-d672-45f4-be83-09f5a12a26ef"
"checkpoint-group","74ee8f07-7f24-4342-bbc8-bcf2d1f20576","","section","Pre-Installation QA Check"
"checkpoint-status","3eddb163-159b-4300-8fd3-14b72bb15f78","","checkpoint","Has the panels received without damages"
"checkpoint-group","d30d15e3-4a2c-406e-8f36-8de0d16e6787","","section","Installation QA Check"
"checkpoint-status","2feba71c-5143-4f96-a663-4c2c25a37fce","","checkpoint","Roof structure has been completed and waterproofed (D20,D21,D22)"
"checkpoint-status","32ff48ca-1877-437c-a9d9-73f0a005ada2","","checkpoint","EPDM membranes installed and sealed (D20,D21,D22)"
"checkpoint-status","8e411dd4-5b9d-426f-b530-8b56fc37606b","","checkpoint","Has the CW panels been installed line leveled and sealed."
"checkpoint-status","4c86de7e-ea04-4234-9d1b-684806f82ca8","","checkpoint","Alum cladding installed line and leveled"
"checkpoint-status","b8ba0146-d22a-4fec-99cb-10ffc4752765","","checkpoint","Has the PEF rod installed as per the standard"
"checkpoint-status","cddce748-df77-4cca-b2e0-6349f47623cb","","checkpoint","Has the silicon applied without bubbles and sealed neatly"

"checklist-sectioned","314c5466-6fdf-4f9f-8245-9d093d7b89fe","","checklist","Final Handover","",,,12,"Yes","Final Handover","04948b45-ed7c-4ab9-84c4-38b88e9d820a"
"checkpoint-group","d1ad0648-4932-44f7-82e0-8513ed3398ed","","section","Details"
"checkpoint-status","cd718960-16f4-4056-88e9-941dfa3171e5","","checkpoint","Attach documents/photos/comments"

"checklist-sectioned","0f573ae6-4601-4041-baee-7b19463e30c3","","checklist","CW Brackets","",,,4,"Yes","CW Brackets","069371f4-8e05-4e59-b37d-8b06244cd2d4"
"checkpoint-group","fe2ca056-0d3a-483c-b945-18f2cea9d45f","","section","Pre-Installation QA Check"
"checkpoint-status","4ac82dbc-e11f-4589-9a78-a8d19381bcc7","","checkpoint","Secondary steel within tolerance"
"checkpoint-status","ba16a356-e07c-496e-946f-1476e79ec5ff","","checkpoint","Are the holes on steel in line with bracket holes?"
"checkpoint-status","215ad2ef-0a2c-4312-b9ad-46b248a250d5","","checkpoint","Has the steel been waterproofed?"
"checkpoint-group","fd80b5ee-d77f-4dbd-90a3-ffb7438daa0a","","section","Installation QA Check"
