Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
dca081ba-ba66-4f47-9822-5b6cb8a659f8,checklist,H&S - Accident & Incident Investigation Report,,Accident & Incident Investigation Report,,
,section,Details,,,,
e30f9ba3-2e32-4e5f-b4d2-73df74c2c201,checkpoint,Particulars of Incident details completed,,,,
f0557a80-89e8-5563-9cf2-cef3fe5ce464,textbox,Name of Investigator:,,,,
47edd1ab-2a8f-5752-b5d2-b107d0c590f2,textbox,Date:,,,,
f78224d8-862f-5999-911e-6d397af9c44e,textbox,Time:,,,,
97728647-b1dd-5928-a37f-d75b94d273c3,textbox,Project/Site:,,,,
2d34dbf1-8d93-596c-b98e-84972c0fc583,textbox,Date Reported:,,,,
375ad370-6625-4d6f-b87b-7e1f8e42f6b8,checkpoint,Injured Person details completed,,,,
5b6b42cd-57af-5a1d-989e-790947034b8f,textbox,Name:,,,,
54514bd7-cb9c-5131-b8cd-8271bf723335,textbox,Age:,,,,
882c31cc-5ef3-599b-8af7-6fe6b0581adc,textbox,Phone Number:,,,,
0ef3eead-dabf-5b60-a328-b56d84d8d00e,textbox,Address:,,,,
2b5deaaf-d688-5cd6-a353-18fc1f20fb8f,textbox,Reported date of incident:,,,,
21110a53-08c5-5dfc-b922-5052b6b65893,textbox,Length of employment:,,,,
76a7f4c7-b0eb-5a4f-9030-24b2de4551ab,textbox,Time on job:,,,,
75245d20-8505-4aa9-9bf0-90d38c9cc885,checkpoint,Type Of Injury:,,,,
34707213-145d-5774-90b6-b1bef78df545,tickbox,Strain/sprain,,,,
8576223c-90da-52f9-a5cc-29830e6fcf70,tickbox,Fracture,,,,
04b61cd2-6ba3-5734-9347-42b5fec5c604,tickbox,Laceration/cut,,,,
71ebd68f-a3ca-5752-ba76-bda4506e6f2c,tickbox,Bruising,,,,
d618244e-5b2a-57d1-8d58-2ba5ebeb2790,tickbox,Scratch/abrasion,,,,
3d42eed1-1381-539f-a6ec-5923b113ba30,tickbox,Amputation,,,,
2a8413b5-d752-5cfd-8e52-7d94ed4202b3,tickbox,Burn scald,,,,
83698a61-92c3-568b-b3de-5b0b0524582a,tickbox,Dislocation,,,,
3102745c-51cc-5b32-ad27-f7811282425f,tickbox,Internal,,,,
3c8ddebf-cd78-5286-932e-b45648deb29a,tickbox,Foreign body,,,,
2fe403bc-7711-5103-a126-a84bcca09fc8,tickbox,Chemical reaction,,,,
b2dce672-c076-5884-9595-2b6908182e14,tickbox,Other,,,,
ebdd8482-3701-55ae-98ec-7a97d93ae6b0,textbox,If other please specify:,,,,
e1a15fa3-f657-5eff-98a0-9d983fbfa955,textbox,Injured Part of Body:,,,,
04be056e-6356-4951-8d4f-45b20e2ae31c,checkpoint,Damaged Property details,,,,
3d614d86-fe93-556a-a4c4-0f921929755d,textbox,Property/material damaged:,,,,
721643da-523e-5c35-86d2-67619364edf2,textbox,Nature of damage:,,,,
f8d140a4-8bcd-5296-9733-278d40c13e51,textbox,Object/substance inflicting damage:,,,,
dab24842-14cd-42ca-a450-b1a1d5b6d03e,checkpoint,Incident Details Complete,,,,
6ebe94fe-436c-5e58-9bef-0c96115ae6bf,textbox,Describe what happened:,,,,
b847453b-9789-4ed6-ac89-d9d2b709bc14,checkpoint,Analysis Details Completed,,,,
c258272d-6f20-5e2c-a065-5d698f63550a,textbox,What were the causes (root and contributing causes) of the incident?,,,,
4fa68354-d971-595c-ae3e-258aae31da1d,textbox,Root causes / safety system failures:,,,,
bf0cd5af-d8b2-52bc-b207-24f144614aaa,textbox,Contributing causes / unsafe acts and conditions:,,,,
e9f98c33-3673-4f2f-8b82-5f5978e9f176,checkpoint,Prevention Details Completed,,,,
4da6a010-9069-5081-a57e-85a8828fb615,textbox,What action has or will be taken to prevent a recurrence?,,,,
c2a8550b-605c-5473-94e1-2b436f1954f4,textbox,By Whom:,,,,
73dba80e-b874-5472-ac32-d067c60bc3df,textbox,When:,,,,
b05f113c-9ff5-4b27-a366-0b66edf03f92,checkpoint,Treatment and Investigation of Incident Details Completed,,,,
a71fd28e-4332-51f6-b452-d9ddebb7db5b,textbox,Treatment and Investigation of Incident :,,,,
1a7ef90f-5923-58a1-823d-4fa65e59a387,textbox,Name of person giving First Aid:,,,,
4d8583ba-024d-53bb-b2aa-ca98a25294d8,textbox,Doctor/Hospital:,,,,
80920336-8d56-5e98-81d1-58715f7e24a3,textbox,Incident investigated by:,,,,
2d38521a-4028-5609-bf6e-496c7497e2eb,textbox,Date:,,,,
0767c91f-6f44-5029-80c8-8bd53ebbaf23,dropdown,Worksafe NZ advised,"Yes,No",,,
7ce65f79-7878-5eb7-a3d5-103ecc2290fb,textbox,Date:,,,,
