type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,ITP-002 - Feeder Conduits and Pits,itp,,,,,ITP-002 - Feeder Conduits and Pits Rev2,
section,Preliminary Works,,,,,,,
checkpoint,1.1 Check for correct documentation,,,,,,,
note,FREQUENCY: Prior to commencing any activity,,,,,,,
note,ACCEPTANCE CRITERIA: Ensure that all employees and subcontractors are:,,,,,,,
note,– using the correct and complete set of drawings,,,,,,,
note,– all drawings are the latest revision,,,,,,,
note,REFERENCE DOCUMENTS: Drawings and drawing registers,,,,,,,
note,INSPECTION/TEST METHOD: Visual inspection,,,,,,,
note,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
note,HP*,,,,,,,
note,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,
textbox,DATE:,,,,,,,
checkpoint,1.2 Implementation of all measures and controls,,,,,,,
note,FREQUENCY: Prior to commencing any activity,,,,,,,
note,"ACCEPTANCE CRITERIA: All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, JSEA, SWMS & WP",,,,,,,
note,"REFERENCE DOCUMENTS: PSP, EMP, TMP, JSEA, SWMS, WP",,,,,,,
note,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,
note,RECORD OF CONFORMITY: This ITP signed off,,,,,,,
note,HP*,,,,,,,
note,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,
textbox,DATE:,,,,,,,
checkpoint,1.3 Materials,,,,,,,
note,FREQUENCY: Per batch,,,,,,,
note,ACCEPTANCE CRITERIA: Electrical supply conduit to be orange. (Heavy duty 100mm diameter UPVC),,,,,,,
note,"• Modula Stakka pits to be used for feeder pit, entries for conduits to be cut with hole saw.",,,,,,,
note,• All pit covers to be class D or greater and installed in accordance with manufacturer requirements.,,,,,,,
note,REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.4 AS 2053,,,,,,,
note,INSPECTION/TEST METHOD: Verify,,,,,,,
note,RECORD OF CONFORMITY: This ITP signed,,,,,,,
note,HP*,,,,,,,
note,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,
textbox,DATE:,,,,,,,
section,Construction Works,,,,,,,
checkpoint,2.1 Survey set-out,,,,,,,
note,FREQUENCY: As required,,,,,,,
note,ACCEPTANCE CRITERIA: Work is set out in accordance with drawings.,,,,,,,
note,• Ensure that pits are placed as shown on drawings and shall align with overhead poles which are suitable for connection with infrastructure from pits,,,,,,,
note,REFERENCE DOCUMENTS: Work procedure,,,,,,,
note,INSPECTION/TEST METHOD: Verify,,,,,,,
note,RECORD OF CONFORMITY: This ITP signed,,,,,,,
note,HP*,,,,,,,
note,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,
textbox,DATE:,,,,,,,
checkpoint,2.2 Excavation and trenching,,,,,,,
note,FREQUENCY: Prior to installation,,,,,,,
note,ACCEPTANCE CRITERIA: Minimum cover for underground conduits shall be 600mm,,,,,,,
note,"• Open trenching only permitted in unpaved areas, line of trench to be at right angle to the track",,,,,,,
note,• Trench shall maintain a minimum clearance of 300mm from all existing services where possible,,,,,,,
