"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
,"checklist-flat","Add Site Diary Checklist","","Site Diary",2,"d2860430-fcb1-4199-a78e-3fbe350bbc4f"
,"checkpoint","Areas of work accessible for the day",,,,
"e048d81c-b120-5201-90b9-737dc818e2c4","dropdown","Day"," Friday, Saturday, Sunday, Thursday, Tuesday, Wednesday,Monday",,,
"8b06ec40-8a3c-5890-8eef-2138d0007662","textbox","Date",,,,
"220bbcf8-26f5-50d0-8333-a92a92c45817","textbox","Year",,,,
"2ee2d4ff-2e7a-5a32-abbd-16864834758c","textbox","Number of workers on site",,,,
"f718a78d-8c75-581f-8ecc-f206357c4ca1","textbox","HSR on site today enter name",,,,
"67e1eae6-6cc5-54f1-9e71-af2e0d4466a4","textbox","First Aider on site today enter name",,,,
"300a822f-3c8d-5eb4-ace2-997e233cf07a","textbox","Injury on site today enter name",,,,
,"checkpoint","Work area 1 details entered",,,,
"47c51389-20da-5ede-8014-b3d862ef3eaa","textbox","Area",,,,
"be2d3209-4753-5610-ab16-ae8739025b3a","dropdown","Task"," Cores, Deck, Footings G/Slab, Framing, Other, Setdown, Stripping, Upstand, Walls,Columns",,,
"8e3893b8-ed2f-5026-a09c-93c5cb077f2f","textbox","Comments",,,,
,"checkpoint-no-value","Work area 2 details entered",,,,
"c3bf60c1-b562-5b80-a516-8f9ebd4704ed","textbox","Area",,,,
"4be3a27e-4b3d-586a-b513-ceb15fc40bfe","dropdown","Task"," Cores, Deck, Footings G/Slab, Framing, Other, Setdown, Stripping, Upstand, Walls,Columns",,,
"c2b720eb-8138-59ab-8725-672f980b9236","textbox","Comments",,,,
,"checkpoint-no-value","Work area 3 details entered",,,,
"67ba33fd-a2e8-519a-9718-9602c1c22c34","textbox","Area",,,,
"d67e8a5c-0701-5122-8469-a3f875979c90","dropdown","Task"," Cores, Deck, Footings G/Slab, Framing, Other, Setdown, Stripping, Upstand, Walls,Columns",,,
"e0c6f448-ea66-5571-ab37-d4e5b00d7eba","textbox","Comments",,,,
,"checkpoint-no-value","Work area 4 details entered",,,,
"a65ca3a0-57ef-5fca-9a21-6c58979e77b1","textbox","Area",,,,
"228c593c-8c7b-556a-a358-a302692731ee","dropdown","Task"," Cores, Deck, Footings G/Slab, Framing, Other, Setdown, Stripping, Upstand, Walls,Columns",,,
"be73872c-40d0-5fe1-95e7-28fc71abd66b","textbox","Comments",,,,
,"checkpoint-no-value","Work area 5 details entered",,,,
"5c62749c-d156-5f1a-a0db-c1bfbf345bbe","textbox","Area",,,,
"fb2b9525-bedc-5e79-8595-7d9e44168dbe","dropdown","Task"," Cores, Deck, Footings G/Slab, Framing, Other, Setdown, Stripping, Upstand, Walls,Columns",,,
"0f36562c-85d2-5c15-b10e-0e0351ca42a0","textbox","Comments",,,,
,"checkpoint-no-value","Work area 6 details entered",,,,
"df45fc36-050d-52a7-b4de-4c3dfd8b7dc1","textbox","Area",,,,
"ce639f3d-bbb2-5e33-bfa7-831d0f7f3ce4","dropdown","Task"," Cores, Deck, Footings G/Slab, Framing, Other, Setdown, Stripping, Upstand, Walls,Columns",,,
"7a39984c-f43a-5db8-bbb8-67cb3b46d3ad","textbox","Comments",,,,
,"checkpoint-no-value","Work area 7 details entered",,,,
"f56b01be-ce67-517e-9201-21fbb9da80c2","textbox","Area",,,,
"cd1edc93-5190-52b7-8b91-cd4940a807f6","dropdown","Task"," Cores, Deck, Footings G/Slab, Framing, Other, Setdown, Stripping, Upstand, Walls,Columns",,,
"0ce609f8-0e23-570c-84bf-8d4ab1c5a902","textbox","Other",,,,
,"checkpoint-no-value","Work area 8 details entered",,,,
"87fec433-1b39-5b0c-85ab-47b3724894e7","textbox","Area",,,,
"497f30d6-7d3e-567a-9fde-26ab4d0ca912","dropdown","Task"," Cores, Deck, Footings G/Slab, Framing, Other, Setdown, Stripping, Upstand, Walls,Columns",,,
"64afa6dd-5e29-541b-8f7a-b3eefebb69ef","textbox","Comments",,,,
,"checkpoint-no-value","Weather conditions entered",,,,
"e4a9dd83-8a46-5d40-9016-ecdf1143b19f","dropdown","Conditions:"," Hot, Overcast, Rain, Showers, Windy,Fine",,,
"c4eca12e-6581-575e-a282-008a28f85230","textbox","Min temp predicted",,,,
"9f6d3c08-4655-5cb2-a2ec-d500dc6aaf2c","textbox","Max temp predicted",,,,
,"checkpoint-no-value","Delays from inclemency",,,,
