type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Waikato - Strip Out,,,,,Yes,Waikato - Strip Out,de2a5f6e-df6e-4404-ad82-68102fa3d241
checkpoint-status,Flush boxes cut as per plan,,,,,,,
checkpoint-status,Fans cut as per plan,,,,,,,
checkpoint-status,Lights cut as per plan,,,,,,,
checkpoint-status,Exterior lights have been bought out centre / as per pre-wire,,,,,,,
checkpoint-status,Cables stripped ,,,,,,,
checkpoint-status,Switching as per plan,,,,,,,
checkpoint-status,Cables clearly labelled,,,,,,,
checkpoint-status,Complete final walkthrough check,,,,,,,
checkpoint-status,Damages and remedials documented,,,,,,,
checkpoint-status,All remedial work sent to CM and PM,,,,,,,
checkpoint-status,Remedial photos,,,,,,,
checkpoint-status,Strip-out Photos,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
checklist-flat,Strip Out,,,,,Yes,SYS - PT - Strip Out,84a6a19a-1ab3-42c3-aad7-338320af4709
checkpoint-status,Flush boxes cut as per plan,,,,,,,
checkpoint-status,Fans cut as per plan,,,,,,,
checkpoint-status,Lights cut as per plan,,,,,,,
checkpoint-status,Exterior lights have been bought out centre / as per pre-wire,,,,,,,
checkpoint-status,Cables stripped ,,,,,,,
checkpoint-status,Switching as per plan,,,,,,,
checkpoint-status,Cables clearly labelled,,,,,,,
checkpoint-status,Complete final walkthrough check,,,,,,,
checkpoint-status,Damages and remedials documented,,,,,,,
checkpoint-status,All remedial work sent to CM and PM,,,,,,,
checkpoint-status,Remedial photos,,,,,,,
checkpoint-status,Strip-out Photos,,,,,,,
,,,,,,,,
,,,,,,,,
checklist-flat,Second Fix - Remedials,,,,,,Second Fix - Remedials,
checkpoint,Damages and remedials documented,,,,,,,
checkpoint,All remedial work sent to CM and PM,,,,,,,
checkpoint,Remedial photos,,,,,,,
