type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-sectioned,Preline Checklist,,,,,Yes,Preline Checklist,1616028a-452d-4d9d-8f37-0d70f823c092
checkpoint-group,Preline QA,,,,,,,
checkpoint-status,Area Accessible,,,,,,,
checkpoint-status,Service (please tick all applicable),,,,,,,
boolean,Hot Water,,,,,,,
boolean,Vent,,,,,,,
boolean,Cold Water,,,,,,,
boolean,Soil/Waste,,,,,,,
boolean,Stormwater,,,,,,,
boolean,Other,,,,,,,
text,"If others, please specify:",,,,,,,
checkpoint-status,Pipework securely clipped,,,,,,,
checkpoint-status,Lagging installed,,,,,,,
checkpoint-status,Seismic restraints installed,,,,,,,
checkpoint-status,Penetrations sealed through floors,,,,,,,
checkpoint-status,Outlet positions checked for,,,,,,,
boolean,Location,,,,,,,
boolean,Height,,,,,,,
checkpoint-status,Heights – Finished floor height verified with Main Contractor,,,,,,,
text,,,,mm,,,,
checkpoint-status,"Projection of valves, shower mixers and the like correct for second fix",,,,,,,
checkpoint-status,Nogs installed for second fix installation,,,,,,,
checkpoint-status,Pipework identification installed if required,,,,,,,
checkpoint-group,Testing,,,,,,,
checkpoint-status,Hot & Cold Water,,,,,,,
text,Specified to,,,Kpa,,,,
text,Test Pressure,,,Kpa,,,,
text,Duration,,,,,,,
checkpoint-status,Soil/Waste Pipes,,,,,,,
text,Specified to,,,Kpa,,,,
text,Test Pressure,,,Kpa,,,,
text,Duration,,,,,,,
checkpoint-status,Other,,,,,,,
text,Specify Other:,,,,,,,
text,Specified to,,,Kpa,,,,
text,Test Pressure,,,Kpa,,,,
text,Duration,,,,,,,
checkpoint-group,Handover,,,,,,,
checkpoint-status,Area left clean and tidy,,,,,,,
checkpoint-status,Local Authority Verification,,,,,,,
holdpoint,Plumbing inspection complete and passed as satisfactory,,,,,,,
checkpoint-status,ContractorVerification,,,,,,,
holdpoint,Plumbing Complete and ready for lining,,,,,,,
checkpoint-status,Main Contractor verification,,,,,,,
holdpoint,Plumbing Complete and ready for lining,,,,,,,
,,,,,,,,
checklist-sectioned,Fitoff Checklist,,,,,Yes,Fitoff Checklist,3df803e1-6f90-433c-8942-ef9a91e5f2a6
checkpoint-group,Wash Hand Basin,,,,,,,
checkpoint-status,Basin level and secure,,,,,,,
checkpoint-status,"Waste connection watertight, plug supplied",,,,,,,
checkpoint-status,"Water connection watertight, tap secure",,,,,,,
checkpoint-status,"Hot & Cold waterflow satisfactory, no water hammer",,,,,,,
checkpoint-group,Toilet,,,,,,,
checkpoint-status,"Securely fixed, silicone at floor",,,,,,,
checkpoint-status,Flush and cistern fill operation checked,,,,,,,
checkpoint-status,Water connection watertight – cold water,,,,,,,
checkpoint-group,Shower,,,,,,,
checkpoint-status,"Hot & Cold waterflow satisfactory, no water hammer",,,,,,,
checkpoint-status,Waste clear,,,,,,,
checkpoint-status,Rail secure and hose/spray installed,,,,,,,
checkpoint-status,Cover plate fixed securely,,,,,,,
checkpoint-group,Bath/Shower,,,,,,,
checkpoint-status,"Waste clear, plug installed",,,,,,,
checkpoint-status,"Hot & Cold waterflow satisfactory, no water hammer",,,,,,,
checkpoint-status,Cover plate/spout fixed securely,,,,,,,
checkpoint-group,FWG,,,,,,,
checkpoint-status,Grate flush with floor or slightly below,,,,,,,
checkpoint-status,Waste clear of debris,,,,,,,
checkpoint-group,Amenity Areas / Kitchens etc,,,,,,,
checkpoint-status,"Hot & Cold waterflow satisfactory, no water hammer",,,,,,,
checkpoint-status,"Water connection watertight, tap secure",,,,,,,
checkpoint-status,Waste connection watertight,,,,,,,
checkpoint-status,Dishwasher connection watertight,,,,,,,
checkpoint-status,Wastemaster connection watertight,,,,,,,
checkpoint-status,Overflow connection watertight,,,,,,,
checkpoint-status,"Waste clear, plug installed",,,,,,,
checkpoint-group,Urinal,,,,,,,
checkpoint-status,Urinal is installed/secure and siliconed,,,,,,,
checkpoint-status,Water connection is watertight,,,,,,,
checkpoint-status,Waste connection watertight,,,,,,,
checkpoint-status,Waste connection clear/drains efficiently,,,,,,,
checkpoint-status,Urinal flush sensor operating correctly,,,,,,,
checkpoint-group,Water Heater,,,,,,,
checkpoint-status,Seismic Restraints installed,,,,,,,
checkpoint-status,Water meter installed,,,,,,,
checkpoint-status,Pipework securely fixed,,,,,,,
checkpoint-status,Waste connection watertight,,,,,,,
checkpoint-status,Water temperature checked,,,,,,,
checkpoint-group,Handover,,,,,,,
checkpoint-status,Area left clean and tidy,,,,,,,
checkpoint-status,ContractorVerification,,,,,,,
checkpoint-status,Main Contractor verification,,,,,,,
holdpoint,Plumbing Complete,,,,,,,
,,,,,,,,
checklist-flat,Underslab Checklist,,,,,Yes,Underslab Checklist,6b837309-474e-4f0e-8049-c274d29c793d
checkpoint-status,Pipework Material as specified/scheduled/drawn,,,,,,,
checkpoint-status,Grid lines and fitting dimensions confirmed,,,,,,,
checkpoint-status,Drain invert checked,,,,,,,
checkpoint-status,Gully position checked,,,,,,,
checkpoint-status,Floor levels established,,,,,,,
checkpoint-status,Falls checked,,,,,,,
checkpoint-status,Drainlayer/Plumber interface Points established,,,,,,,
checkpoint-status,Penetrations co-ordinated with main contractor,,,,,,,
checkpoint-status,Pipework backfilled correctly,,,,,,,
checkpoint-status,Identification strip installed if required,,,,,,,
checkpoint-status,Open ends of pipework capped off to prevent dirt ingress,,,,,,,
checkpoint-status,Work completed and photos attached,,,,,,,
checkpoint-status,Area left clean and tidy,,,,,,,
