Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Services Rough In (Federated),,,,,
,Scope,,,,
,Rows,,,,
,,Level 1,grouping,Level 1,
,,Level 1 - Zone 6,,Level 1,Zone 6
,,Level 1 - Zone 10,,Level 1,Zone 10
,,Level 1 - Zone 11,,Level 1,Zone 11
,,Level 2,grouping,Level 2,
,,Level 2 - Zone 6,,Level 2,Zone 6
,,Level 2 - Zone 10,,Level 2,Zone 10
,,Level 2 - Zone 11,,Level 2,Zone 11
,,Level 3,grouping,Level 3,
,,Level 3 - Zone 6,,Level 3,Zone 6
,,Level 3 - Zone 10,,Level 3,Zone 10
,,Level 3 - Zone 11,,Level 3,Zone 11
,Columns,,,,
,,ITR 011 Hot & Cold Rough In,,Rough In Water Services,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,ITP-217 Light and Power Rough In,,Light & Power Rough In,Fredon VIC - Knox Redevelopment Stage 3 & 4
,,ITC006 - Ductwork Installation (Installation),,Ductwork Installation,Fredon Air VIC - Knox Redevelopment Stage 3 & 4
,,ITC006 - Ductwork Installation (Insulation),,Ductwork Insulation,Fredon Air VIC - Knox Redevelopment Stage 3 & 4
,,Sprinkler System Installation ITP,,Sprinkler Pipe Installation,Premier Services Group - Knox Redevelopment Stage 3 & 4
,,Sprinkler System Commissioning,,Sprinkler Commissioning,Premier Services Group - Knox Redevelopment Stage 3 & 4
,,,,,
Services Fit Out (Federated),,,,,
,Scope,,,,
,Rows,,,,
,,Level 1,grouping,Level 1,
,,Level 1 - Zone 6,,Level 1,Zone 6
,,Level 1 - Zone 10,,Level 1,Zone 10
,,Level 1 - Zone 11,,Level 1,Zone 11
,,Level 2,grouping,Level 2,
,,Level 2 - Zone 6,,Level 2,Zone 6
,,Level 2 - Zone 10,,Level 2,Zone 10
,,Level 2 - Zone 11,,Level 2,Zone 11
,,Level 3,grouping,Level 3,
,,Level 3 - Zone 6,,Level 3,Zone 6
,,Level 3 - Zone 10,,Level 3,Zone 10
,,Level 3 - Zone 11,,Level 3,Zone 11
,Columns,,,,
,,ITR 014 Sanitary Fit Off,,Sanitary Fixtures,Highbury Plumbing - Knox Redevelopment Stage 3 & 4
,,"ITP-219 Fit Off Power, Switches and Accessories",,"Fit Off Power, Switches & Accessories",Fredon VIC - Knox Redevelopment Stage 3 & 4
,,ITC019 - Pipework Installation (CHW),,CHW Pipe Work installation,Fredon Air VIC - Knox Redevelopment Stage 3 & 4
,,ITC019 - Pipework Installation (HHW),,HHW Pipe Work installation,Fredon Air VIC - Knox Redevelopment Stage 3 & 4
,,Dry Fire System Installation ITP,,Fire Detection Installation,Premier Services Group - Knox Redevelopment Stage 3 & 4
,,Fire Detection System Commissioning,,Fire Detection Commissioning,Premier Services Group - Knox Redevelopment Stage 3 & 4
