type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Production Layout Sheet,,,,,Yes,Production Layout Sheet,1f1bbdbf-354d-41d9-b938-ff69b3e829dd
checkpoint-status,Production Layout sheet attached,,,,,,,
,,,,,,,,
checklist-flat,Precast Compliance Documents,,,,,Yes,SYS - PT - Precast Compliance Documents,5a95a827-ce8b-43f6-b44d-32c81dc9cfcf
checkpoint-status,Concrete Test Results attached,,,,,,,
checkpoint-status,Mill Certs attached,,,,,,,
checkpoint-status,Producer Statements attached,,,,,,,
,,,,,,,,
checklist-flat,Dispatch Layout Sheet,,,,,Yes,Dispatch Layout Sheet,694ed178-cc14-4d87-a2de-577152b541dc
checkpoint-status,Dispatch Layout sheet attached,,,,,,,
,,,,,,,,
checklist-flat,3 - Dispatch,,,,,Yes,3 - Dispatch,95cca0f6-13ad-48b4-8775-eaf3e3d38899
checkpoint-status,Add # of items on truck on dispatch docket,,,,,,,
checkpoint-status,Photo taken of completed docket,,,,,,,
checkpoint-status,Photo taken of truck,,,,,,,
,,,,,,,,
checklist-flat,Precast Compliance Documents,,,,,Yes,Precast Compliance Documents,b151e17e-5276-4968-a0bf-8e27f6e973a3
checkpoint-status,Concrete Test Results attached,,,,,,,
checkpoint-status,Mill Certs attached,,,,,,,
checkpoint-status,Producer Statements attached,,,,,,,
,,,,,,,,
checklist-flat,2 - Unit / Mark,,,,,Yes,2 - Unit / Mark,bcb48007-8e95-4d4c-92e3-6dd4df93ae35
checkpoint-status,Photo taken of prepour sheet,,,,,,,
checkpoint-status,Photo taken of reo,,,,,,,
checkpoint-status,Photo taken of post pour sheet,,,,,,,
checkpoint-status,Photo taken of product,,,,,,,
,,,,,,,,
checklist-flat,1 - Production Sheet,,,,,Yes,1 - Production Sheet,cbcde563-abef-4b18-95af-fcdbe9e5620a
checkpoint-status,Photo taken of production sheet,,,,,,,
checkpoint-status,Photo taken of prepour sheet,,,,,,,
checkpoint-status,Photo taken of elongation / strand,,,,,,,
checkpoint-status,Photo taken of post pour sheet,,,,,,,
checkpoint-status,Photo taken of stack / tags,,,,,,,
