type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Loading,,,,,,General - Loading,
checkpoint,Damages & Missing Parts Noted,,,,,,,
checkpoint,Quantities Checked,,,,,,,
,,,,,,,,
checklist-flat,Installation,,,,,,General - Installation,
checkpoint,Items/Products installed defect/damage free. Damages noted - Please take photos,,,,,,,
checkpoint,As per FFE Set out plans / Markup,,,,,,,
checkpoint,Spacing Checked,,,,,,,
checkpoint,Light Fixture Battens Checked,,,,,,,
checkpoint,Sign off Woodworx SM,,,,,,,
checkpoint,Sign off Versatile SM,,,,,,,
checkpoint,Protection Added if required 1200mm from Floor Coreflute,,,,,,,
checkpoint,Photo,,,,,,,
,,,,,,,,
checklist-flat,Joinery ITP,,,,,,Joinery - Joinery ITP,
checkpoint,Wall Dimensions and cabinet sizes in the surface penetration against shop drawings.,,,,,,,
checkpoint,"Install area is set out, services and positioning are checked",,,,,,,
checkpoint,Bulkhead alignment checked.,,,,,,,
checkpoint,Units installed feet adjusted and levelled.,,,,,,,
checkpoint,Services cut out is ready for other trades,,,,,,,
checkpoint,Doors clipped on and aligned,,,,,,,
checkpoint,Shelves placed into cabinets and all shelf pegs used where required.,,,,,,,
checkpoint,Gap fill or silicone as required for all junction where required.,,,,,,,
checkpoint,Handles drilled and installed to correct position.,,,,,,,
checkpoint,Joinery protection applied and taken off as required.,,,,,,,
checkpoint,Kick faces cut and fixed off.,,,,,,,
checkpoint,Appliance install and all excess glue removed.,,,,,,,
checkpoint,Defects addressed and rectified.,,,,,,,
checkpoint,Final sign-off for Joinery,,,,,,,
,,,,,,,,
checklist-flat,Drawings & Documents,,,,,,Joinery - Drawings & Documents,
checkpoint,Attach Drawings & Documents,,,,,,,
,,,,,,,,
checklist-flat,Protection,,,,,,Joinery - Protection,
checkpoint,Joinery installed defect/damage free. Damages noted - Please tale photos,,,,,,,
,,,,,,,,
checklist-flat,Installation,,,,,,Skirting - Installation,
checkpoint,Items/Products installed defect/damage free. Damages noted - Please take photos,,,,,,,
checkpoint,As per FFE Set out plans / Markup,,,,,,,
checkpoint,Sign off Woodworx SM,,,,,,,
checkpoint,Sign off Versatile SM,,,,,,,
,,,,,,,,
,,,,,,,,
checklist-flat,Loading Door & Frame,,,,,,Doors & Frames & Hardware - Loading Door & Frame,
checkpoint,Quantities and Sizes checked,,,,,,,
checkpoint,Missing parts Noted and ordered appropriately with either WWX or Versatile,,,,,,,
,,,,,,,,
checklist-flat,Installation Door + Frame,,,,,,Doors & Frames & Hardware - Installation Door + Frame,
checkpoint,Frame installed Plumb and Level to suit Door,,,,,,,
checkpoint,Door Installed with +/-3mm cleareances and hinged correct side,,,,,,,
checkpoint,Door Swing tested ,,,,,,,
checkpoint,Hardware Cutouts made prior to painting,,,,,,,
checkpoint,Photo,,,,,,,
checkpoint,Sign off Woodworx Manager,,,,,,,
,,,,,,,,
checklist-flat,Painting by others,,,,,,Doors & Frames & Hardware - Painting by others,
checkpoint,Check Door has been painted ready for Hardware Installation,,,,,,,
checkpoint,Sign off Woodworx Manager,,,,,,,
checkpoint,Sign off Versatile Manager,,,,,,,
,,,,,,,,
checklist-flat,Hardware,,,,,,Doors & Frames & Hardware - Hardware,
checkpoint,Hardware installed per specification for each door,,,,,,,
checkpoint,Hardware Tested,,,,,,,
checkpoint,Photo,,,,,,,
checkpoint,Sign off Woodworx Manager,,,,,,,
checkpoint,Sign off Versatile Manager,,,,,,,
,,,,,,,,
checklist-flat,Loading,,,,,,Skirting - Loading,
checkpoint,"Room cleared and safe area provided for loading, All items loaded correctly and QC check off for damages/missing parts, please take photos of loud out & QC Sheet",,,,,,,
,,,,,,,,
checklist-flat,Loading,,,,,,Joinery - Loading,
checkpoint,"Room cleared and safe area provided for loading, All items loaded correctly and QC check off for damages/missing parts, please take photos of loud out & QC Sheet",,,,,,,
