type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Suspended Slab,,,,,Yes,Suspended Slab,e2f73502-7c15-4082-8e4e-033ca79a782b
checkpoint,Materials used complies with design documentation,,,,,,,
checkpoint,Datum point used & soffit RLs checked,,,,,,,
checkpoint,Grids marked by builder,,,,,,,
checkpoint,Surveyor points given for outside of building,,,,,,,
checkpoint,Fillet & drip mould installed,,,,,,,
checkpoint,Check set down position & RL,,,,,,,
checkpoint,Check penetrations installed,,,,,,,
checkpoint,Column blockouts installed,,,,,,,
holdpoint,Request Sign Off from Site Engineer,,,,,,,
checkpoint,Check back propping as per design,,,,,,,
checkpoint,Blow off deck,,,,,,,
checkpoint,Engage external consultant (engineer inspection),,,,,,,
checkpoint,Correct Class of Finish,,,,,,,
checkpoint,"Stripping, cleaning & materials removed",,,,,,,
checkpoint,Final sign off - Suspended slab completed as per the above ITP - Add general photos/comments below,,,,,,,
checkpoint,"Obtain all concrete tests at 1 day, and attach test results",,,,,,,
text,Test Strength Mpa,,,,,,,
checkpoint,"Confirm initial stress is conducted day after the pour, after concrete has reached 10MPa on 1 Day results",,,,,,,
checkpoint,"Obtain all concrete tests at 4 day, and attach test results",,,,,,,
text,Test Strength Mpa,,,,,,,
checkpoint,"Confirm final stress has occurred after concrete has reached 20MPa, and attach Stressing Records",,,,,,,
label,Attached below as applicable,,,,,,,
checkpoint,"Obtain all concrete tests at 7 day, and attach test results",,,,,,,
text,Test Strength Mpa,,,,,,,
checkpoint,"Obtain all concrete tests at 28 day, and attach test results",,,,,,,
text,Test Strength Mpa,,,,,,,
label,HOLDPOINT - Once all above items have been signed off work may proceed,,,,,,,
