Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,Quality,
,Rows,,,,
,,CW 1,dynamic,CW 1,Quality
,,CW 2,dynamic,CW 2,Quality
,,CW 3,dynamic,CW 3,Quality
,,CW 4,dynamic,CW 4,Quality
,,CW 5,dynamic,CW 5,Quality
,,CW 6,dynamic,CW 6,Quality
,,CW 7,dynamic,CW 7,Quality
,,Punch Windows,dynamic,Punch Windows,Quality
,,Skylight,dynamic,Skylight,Quality
,Columns,,,,
,,Auto Doors,,Auto Doors,
,,Curtain Wall External Checklist,,Curtain Wall External Checklist,
,,Curtain Wall Internal Checklist,,Curtain Wall Internal Checklist,
,,Details,,Details,
,,Fins,,Fins,
,,Frameless Glass Spider Fitting,,Frameless Glass Spider Fitting,
,,Glass,,Glass,
,,Hinge Doors,,Hinge Doors,
,,Internal Fire Seal & Trunking,,Internal fire seal and trunking,
,,Joinery Install,,Joinery Install,
,,Louvres,,Louvres,
,,Manual Doors,,Manual Doors,
,,Sliders,,Sliders,
,,Wight Aluminium Sign Off,,Wight Aluminium sign off,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
