resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,Penetrations,,,,,,,,
,,step,,,,Block A1 Garbage Room,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.01,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.02,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.03,,,,,,
,,step,,,,Block A2 Chute Bin Room,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.04,,,,,,
,,step,,,,Block D Chute Bin Room,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.05,,,,,,
,,step,,,,Block B1 Chute Bin Room,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.06,,,,,,
,,step,,,,Block B2 Chute Bin Room,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.07,,,,,,
,,step,,,,Garbage Holding Room,,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.08,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.09,,,,,,
,,step,,,,Bulky Goods Room,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.11,,,,,,
,,step,,,,Garbage Holding Room 1,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.12,,,,,,
,,step,,,,Garbage Room C,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-B1.13,,,,,,
,,step,,,,Bike Parking,,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.01,,,,,,
,,step,,,,Garbage Room,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.02,,,,,,
,,step,,,,Lift Lobby,,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.03,,,,,,
,,step,,,,Mechanical Plant Room,,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.04,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.05,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.06,,,,,,
,,step,,,,Cold Water Pump Room,,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.08,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.09,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.11,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.12,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.13,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.13.a,,,,,,
,,step,,,,Lobby,,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.10,,,,,,
,,step,,,,Lobby (Fresh Air),,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.15,,,,,,
,,step,,,,Store (Supply Air),,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.15a,,,,,,
,,step,,,,Plant Room for CPSF-G.01,,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.15b,,,,,,
,,step,,,,Garbage Exhaust ,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.16,,,,,,
,,step,,,,Lobby C Garbage Exhaust Ground,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-G.17,,,,,,
,,step,,,,Main Switch Room (Supply Air),,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-L1.01,,,,,,
,,step,,,,Main Switch Room (Exhaust Air),,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-L1.02,,,,,,
,,step,,,,Main Switch Room (Transfer Air),,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-L1.03,,,,,,
,,step,,,,Fan Room,,,,,,,
Fire Damper Checklist [O],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-L1.04,,,,,,
,,step,,,,Mechanical Plant Room,,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-L1.05,,,,,,
,,step,,,,Level 01,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-D-L1.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-C-L1.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B2-L1.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B1-L1.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A1-L1.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A2-L1.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-D-L1.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A2-L1.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A1-L1.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-B1-L1.01,,,,,,
,,step,,,,Level 02,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-D-L2.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-C-L2.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B2-L2.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B1-L2.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A1-L2.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A2-L2.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-D-L2.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A2-L2.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A1-L2.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-B1-L2.01,,,,,,
,,step,,,,Level 03,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-D-L3.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-C-L3.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B2-L3.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B1-L3.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A1-L3.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A2-L3.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-D-L3.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A2-L3.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A1-L3.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-B1-L3.01,,,,,,
,,step,,,,Level 04,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-D-L4.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-C-L4.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B2-L4.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B1-L4.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A1-L4.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A2-L4.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-D-L4.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A2-L4.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A1-L4.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-B1-L4.01,,,,,,
,,step,,,,Level 05,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-D-L5.01,,,,,,
