resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,Distribution Boards,,,,,,,,
,,step,,,Distribution Boards,CDBU,,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-301,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-302,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-401,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-402,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-403,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-404,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-501,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-502,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-503,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-504,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-601,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-01-602,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-101,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-102,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-103,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-104,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-111,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-112,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-113,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-114,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-201,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-202,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-203,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-204,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-211,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-212,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-213,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-214,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-301,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-302,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-401,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-402,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-501,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-502,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-601,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-02-602,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-101,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-102,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-103,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-104,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-111,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-112,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-113,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-114,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-201,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-202,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-203,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-204,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-211,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-212,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-213,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-214,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-301,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-302,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-401,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-402,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-501,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-502,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-601,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-05-602,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-101,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-102,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-103,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-104,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-111,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-112,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-113,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-114,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-301,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-302,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-401,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-CDBU-06-402,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-DBU-01-301,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-DBU-01-401,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-DBU-02-501,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-DBU-05-204,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-DBU-05-501,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,CDBU,EL-DBU-05-601,,,,,,
,,step,,,Distribution Boards,HOUSE DB - E,,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-01-301,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-01-401,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-01-501,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-01-601,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-01-701,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-101,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-102,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-103,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-104,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-201,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-202,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-203,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-204,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-301,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-401,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-501,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-601,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-02-703,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-101,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-102,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-103,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-104,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-201,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-202,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-203,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-204,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-301,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-401,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-501,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-05-601,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-06-101,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-06-102,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-06-103,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-06-104,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-06-301,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-06-401,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-06-501,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - E,EL-HDBE-06-601,,,,,,
,,step,,,Distribution Boards,HOUSE DB - N,,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - N,EL-HDBN-01-301,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - N,EL-HDBN-01-401,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - N,EL-HDBN-01-501,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - N,EL-HDBN-01-601,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - N,EL-HDBN-01-701,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - N,EL-HDBN-02-101,,,,,,
Quality - Distribution boards,Quality - Light & Power Circuit Rough-In,folder-with-checklists,,,Distribution Boards,HOUSE DB - N,EL-HDBN-02-102,,,,,,
