"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-sectioned","1c3962fd-612a-4455-b7d4-2355f4b23ec9","","checklist","ST - S - Punch Window Frames","",,,0,"Yes","ST - S - Punch Window Frames","0c481574-a46f-4236-a7c2-86899301f891"
"checkpoint-group","8d999105-b7b4-43f8-88ed-1b9290f6ea31","","section","Glazing Install"
"checkpoint-no-status","7f7a09c8-79c9-4c54-a55c-9ecd4c310215","","checkpoint","Glazing Install"
"label","45d3284e-7779-5ae0-8f76-92eaaf7ba798","","note","Window # / Elevation / Level",,,
"checkpoint-status","1b489ef6-1473-4da2-855e-0e53f866038d","","checkpoint","Installation (By others) completed as per detail Y/N"
"checkpoint-status","bcf2e019-05a4-41e0-8c55-5bb9d5fb5798","","checkpoint","Check the joinery is free from damage"
"checkpoint-status","65430eaf-798e-44d3-b88a-d71f80540326","","checkpoint","All glazing beads attached to Frame PHOTO REQUIRED"
"checkpoint-status","67152315-8bd5-4b27-b0c5-5e1fe97003d2","","checkpoint","Check Frame number PHOTO REQUIRED"
"checkpoint-status","d0314bfc-0f4c-4737-943a-b8a6cdd78d53","","checkpoint","Inspection of Backing rubber - no damage and continuous around perimeter"
"checkpoint-status","6215ffad-aef3-462d-93c5-818d0798c251","","checkpoint","Glazing Blocks inserted correctly PHOTO REQUIRED"
"checkpoint-status","009b8d92-083a-45b1-b30c-d6f2e84c8dad","","checkpoint","Correct Glass units installed (Glass sticker) PHOTO REQUIRED"
"checkpoint-status","5f1c54f6-f7e9-4208-8164-f514eb469bef","","checkpoint","Glazing Beads fitted correctly PHOTO REQUIRED"
"checkpoint-status","b030644e-2bed-4463-a1b0-d49d084e33bc","","checkpoint","Correct Wedge Rubber installed and rubbered off as per WGANZ guidelines"
"checkpoint-status","77618cb1-677e-4d9d-9b02-a8aee88024d1","","checkpoint","Glass Stickers removed"
"checkpoint-status","72402f6d-bca6-459e-a410-d01b9b91c18e","","checkpoint","Trade Clean"
"checkpoint-status","92d9d3a7-a243-4baa-82bf-e87b4417600b","","checkpoint","Final Inspection PHOTO REQUIRED"
"checkpoint-status","e2474c49-b938-4456-84f8-8edbfd456229","","checkpoint","Glazing complete for handover to Ryman Healthcare"
"holdpoint","bd343928-d15e-49e1-9740-e6986984193c","","signoff","Raise Remedial"

"checklist-flat","31f738d6-e0cc-4df8-b013-224193a45d49","","checklist","100mm Flushglaze","",,,0,"Yes","100mm Flushglaze","0fb45f84-fcb5-4e86-9f82-9b180d649de3"
"checkpoint-status","a0299712-6019-4b14-8231-80020e216b82","","checkpoint","Opening Prepared By Main Contractor"
"checkpoint-status","f06b70aa-c29b-4fb5-b7d1-da9a7040b26c","","checkpoint","Setout/Grids/Datum Lines"
