resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,"Stage 2 (B39 & B40, B43, B49, B56)",,,,,,,,
,,step,,,,B39,,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 01,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 03,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 05,,,,,,
,,step,,,,B40,,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 15,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 17,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 19,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 21,,,,,,
,,step,,,,B43,,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 07,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 09,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 11,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 13,,,,,,
,,step,,,,B49,,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 01,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 03,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 05,,,,,,
,,step,,,,B56,,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 07,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 09,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 11,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 13,,,,,,
,,step,,,Stage 3 (B50 - B55),,,,,,,,
,,step,,,,B50,,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 16,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 18,,,,,,
,,step,,,,B51,,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 20,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 22,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 24,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 26,,,,,,
,,step,,,,B52,,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 28,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 30,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 32,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 34,,,,,,
,,step,,,,B53,,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 31,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 33,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 35,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 37,,,,,,
,,step,,,,B54,,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 23,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 25,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 27,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 29,,,,,,
,,step,,,,B55,,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 15,,,,,,
HI WALL CHECKLIST,EXTRACT FANS CHECKLIST,folder-with-checklists,,,,,Townhouse Unit 17,,,,,,
