Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Commissioning,,,,,
,Scope,,,Commissioning,
,Rows,,,,
,,Ground Floor AC,dynamic,Ground Floor AC,Commissioning
,,Level 1 AC,dynamic,Level 1 AC,Commissioning
,,Fan All,dynamic,Fan All,Commissioning
,Columns,,,,
,,Model/Serial,,Model/Serial,
,,System Type,,System Type,
,,Equipment Location ,,Equipment Location ,
,,Area Served,,Area Served,
,,Electrical Condition,,Electrical Condition,
,,Isolation Condition,,Isolation Condition,
,,Mounting Condition,,Mounting Condition,
,,Duct Condition,,Duct Condition,
,,Equipment Condition,,Equipment Condition,
,,Associated Controls,,Associated Controls,
,,Controls Condition,,Controls Condition,
,,Operational Notes,,Operational Notes,
