Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
2a137d84-cdf9-40ab-be63-48fb0850fd2c,checklist,Colphene Uni NG Riser Pit (ITC),,Colphene Uni NG Riser Pit (ITC),,66483389-e8f8-4a8c-b149-130d03e504e6
226addae-abb4-43a4-a65a-4fa3f1875217,section,Details,,,,
c3d55f82-0daa-4630-99b3-52e79f5ef482,checkpoint,Substrate - To Pile Base,,,,
c2cc497a-8444-5fff-9631-ab9a10d5a42f,button,"All surfaces dry, clean, smooth and free from sharp objects, laitance, oils, grease or any foreign materials which may inhibit or reduce adhesion.","Yes,No",,,
3aa758d9-2654-5563-96c0-f2c4bb5deec0,button,Commencement of installation shall be taken as acceptance of the substrate by the Applicator,"Yes,No",,,
c1bb9b38-063c-4d4b-b7ce-b887b115f832,checkpoint,Colphene BSW UNI NG - To Raft Slab,,,,
5f17449b-4f0d-5725-ac86-ce0414158842,button,"Confirm rolls stored upright, with the selvedge side on top. If the product is stored outdoors confirm covered with an protective cover","Yes,No",,,
59906662-7e5a-5ced-b989-3536b6bcec18,button,Check COLPHENE BSW UNI NG thickness is 4mm,"Yes,No",,,
8617d554-d0b8-5f59-a820-4cfcdce80649,button,Apply COLPHENE BSW UNI NG loose laid on blinding concrete,"Yes,No",,,
3385c9b4-c4e5-5f50-8b21-fc58fa5ddf52,button,Confirm minimum 100 mm side overlap,"Yes,No",,,
d62fe843-27d0-5765-936d-61149f5cc37f,button,Confirm minimum 150 mm end lap between each strip,"Yes,No",,,
729c4898-a9de-5bde-8b13-68a12b9a3c8a,button,Confirm end laps are staggered by at least 300 mm,"Yes,No",,,
b11259a7-01d3-5c18-a221-87a2a3a590d3,button,Confirm laps avoid excessive layering,"Yes,No",,,
95b4427a-4f9f-5fdc-8000-1e5b3ac6a19b,button,Visual inspection of joint welds at cross laps,"Yes,No",,,
e1d7c715-43e3-5a75-a23f-7de6e427b6c7,button,Confirm no laps at capping beam construction joint,"Yes,No",,,
0a2ba39d-abf7-533d-ac12-8d101b988ba3,button,Confirm all side laps are sealed and end laps by heat-welding the selvedge with a propane torch and minimum 2-10mm bleed,"Yes,No",,,
e06df59e-1687-5112-bde9-94e98c23ebf9,button,Confirm all angle changes (inside and outside corners) are reinforced by heat-welding on additional 300 mm piece of COLPHENE BSW UNI NG centered on the angle,"Yes,No",,,
b27d5723-a7cc-48d9-9507-3e78376e9534,checkpoint,Colphene BSW UNI NG Reiforcement Strip - Floor/Wall Junction and Existing Wall Upturn,,,,
fa3e56a1-e41f-5082-a0d0-894b1ce8faf6,button,"Confirm rolls stored upright, with the selvedge side on top. If the product is stored outdoors confirm covered with an protective cover","Yes,No",,,
9d63b735-8565-551a-af3b-58af3ffbb405,button,Check COLPHENE BSW UNI NG thickness is 4mm,"Yes,No",,,
149f94ce-ea63-56c8-ab62-163cfaff654f,button,Confirm minimum 100 mm side overlap,"Yes,No",,,
2b897576-6890-5038-ae39-45e8ec4fc86c,button,Confirm minimum 150 mm end lap between each strip,"Yes,No",,,
8755b459-5512-504d-8fc6-7e648357a72e,button,Confirm end laps are staggered by at least 300 mm,"Yes,No",,,
1b104f4d-2edf-53ac-91df-c769acbc84af,button,Confirm laps avoid excessive layering,"Yes,No",,,
b4661318-27ad-5524-8ea1-b8ec1625271d,button,Visual inspection of joint welds at cross laps,"Yes,No",,,
5adc1450-ff9f-513b-86d4-69760a587566,button,Confirm no laps at capping beam construction joint,"Yes,No",,,
