"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Common Areas - RECEPTION/LOBBY Progress"
,"Scope",,
,"Rows"
,,"RECEPTION/LOBBY","dynamic","common areas","reception/lobby","quest carlaw park"
,"Columns"
,,"Reception counter",,"reception counter","details"
,,"Signage and Wayfinding",,"details","signage and wayfinding"
,,"Sense of arrival",,"sense of arrival","details"
,,"Flooring",,"flooring","details"
,,"Rug",,"rug","details"
,,"Inspected Quantity:","Inspected Quantity:","rug","details"
,,"Lighting",,"lighting","details"
,,"Entrance",,"entrance","details"
,,"Coffee station",,"coffee station","details"
,,"Inspected Quantity:","Inspected Quantity:","coffee station","details"
,,"Sofa 3-seater",,"details","sofa 3-seater"
,,"Inspected Quantity:","Inspected Quantity:","details","sofa 3-seater"
,,"Casual chairs",,"casual chairs","details"
,,"Inspected Quantity:","Inspected Quantity:","casual chairs","details"
,,"Coffee table",,"coffee table","details"
,,"Artwork",,"details","artwork"
,,"Inspected Quantity:","Inspected Quantity:","details","artwork"
,,"TV - 50"" LED",,"details","tv - 50"" led"
,,"Inspected Quantity:","Inspected Quantity:","details","tv - 50"" led"
,,"Videos & Other Attachments",,"other","videos & other attachments"

"Common Areas - LIFTS O/A Progress"
,"Scope",,
,"Rows"
,,"LIFTS O/A","dynamic","lifts o/a","common areas"
,"Columns"
,,"Flooring",,"flooring","details"
,,"Doors",,"doors","details"
,,"Wall finishes",,"wall finishes","details"
,,"Cleanliness",,"details","cleanliness"
,,"Signage (appropriate)",,"signage (appropriate)","details"
,,"Artwork (sufficient amount)",,"details","artwork (sufficient amount)"
,,"Videos & Other Attachments",,"other","videos & other attachments"

"Common Areas - CORRIDORS O/A Progress"
,"Scope",,
,"Rows"
,,"CORRIDORS O/A","dynamic","corridors o/a","common areas"
,"Columns"
,,"Wall finishes",,"wall finishes","details"
,,"Ceilings",,"details","ceilings"
,,"Flooring",,"flooring","details"
,,"Corner protection",,"corner protection","details"
,,"Door kick plates",,"details","door kick plates"
,,"Lighting",,"lighting","details"
,,"Way finding",,"details","way finding"
,,"Inspected Quantity:","Inspected Quantity:","details"
,,"Door locking",,"door locking","details"
,,"Inspected Quantity:","Inspected Quantity:","details"
,,"Room numbers",,"room numbers","details"
,,"Inspected Quantity:","Inspected Quantity:","details"
,,"Furniture",,"furniture","details"
,,"Artwork (sufficient amount)",,"details","artwork (sufficient amount)"
,,"Videos & Other Attachments",,"other","videos & other attachments"

"Studio Progress"
,"Scope",,
,"Rows"
,,"Studio","dynamic","studio","quest carlaw park"
,"Columns"
,,"Dessert Spoon (stainless steel)",,"dessert spoon (stainless steel)","kitchen"
,,"Inspected Quantity","Inspected Quantity","dessert spoon (stainless steel)","kitchen"
,,"Teaspoon (stainless steel)",,"kitchen","teaspoon (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","teaspoon (stainless steel)"
,,"Fork (stainless steel)",,"kitchen","fork (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","fork (stainless steel)"
,,"Knife (stainless steel)",,"kitchen","knife (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","knife (stainless steel)"
,,"Soup Spoon (stainless steel)",,"kitchen","soup spoon (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","soup spoon (stainless steel)"
,,"Kitchen knives 3-Pc knife set: cooks, bread & vegetable/pairing (stainless steel)",,"kitchen","kitchen knives 3-pc knife set: cooks, bread & vegetable/pairing (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","kitchen knives 3-pc knife set: cooks, bread & vegetable/pairing (stainless steel)"
,,"30cm Stirring wooden spoon",,"30cm stirring wooden spoon","kitchen"
,,"Inspected Quantity","Inspected Quantity","30cm stirring wooden spoon","kitchen"
,,"Sieve 150mm (stainless steel)",,"sieve 150mm (stainless steel)","kitchen"
,,"Inspected Quantity","Inspected Quantity","sieve 150mm (stainless steel)","kitchen"
,,"Heavy duty twist type can opener (white)",,"heavy duty twist type can opener (white)","kitchen"
,,"Inspected Quantity","Inspected Quantity","heavy duty twist type can opener (white)","kitchen"
,,"Metal whisk (chrome)",,"kitchen","metal whisk (chrome)"
,,"Inspected Quantity","Inspected Quantity","kitchen","metal whisk (chrome)"
,,"Grater (stainless steel)",,"kitchen","grater (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","grater (stainless steel)"
,,"Tongs (stainless steel)",,"kitchen","tongs (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","tongs (stainless steel)"
,,"Salad servers",,"kitchen","salad servers"
,,"Inspected Quantity","Inspected Quantity","kitchen","salad servers"
,,"Waiters friend/corkscrew & bottle opener",,"kitchen","waiters friend/corkscrew & bottle opener"
,,"Inspected Quantity","Inspected Quantity","kitchen","waiters friend/corkscrew & bottle opener"
,,"Vegetable peeler",,"kitchen","vegetable peeler"
,,"Inspected Quantity","Inspected Quantity","kitchen","vegetable peeler"
,,"Potato masher",,"potato masher","kitchen"
,,"Inspected Quantity","Inspected Quantity","potato masher","kitchen"
,,"Slotted turner / egg lifter",,"kitchen","slotted turner / egg lifter"
,,"Inspected Quantity","Inspected Quantity","kitchen","slotted turner / egg lifter"
,,"Slotted spoon",,"slotted spoon","kitchen"
,,"Inspected Quantity","Inspected Quantity","slotted spoon","kitchen"
,,"Solid serving spoon",,"solid serving spoon","kitchen"
,,"Inspected Quantity","Inspected Quantity","solid serving spoon","kitchen"
,,"Baking dish clear",,"kitchen","baking dish clear"
,,"Inspected Quantity","Inspected Quantity","kitchen","baking dish clear"
,,"Mixing Bowl: Set of Two (stainless steel)",,"mixing bowl: set of two (stainless steel)","kitchen"
,,"Inspected Quantity","Inspected Quantity","mixing bowl: set of two (stainless steel)","kitchen"
,,"Fry pan with lid (stainless steel)",,"kitchen","fry pan with lid (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","fry pan with lid (stainless steel)"
,,"18cm saucepan (stainless steel)",,"kitchen","18cm saucepan (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","18cm saucepan (stainless steel)"
,,"Highball glass 385ml",,"kitchen","highball glass 385ml"
,,"Inspected Quantity","Inspected Quantity","kitchen","highball glass 385ml"
,,"Champagne flute 165ml",,"kitchen","champagne flute 165ml"
,,"Inspected Quantity","Inspected Quantity","kitchen","champagne flute 165ml"
,,"Wine glass 260ml",,"kitchen","wine glass 260ml"
,,"Inspected Quantity","Inspected Quantity","kitchen","wine glass 260ml"
,,"Cup & saucer white",,"cup & saucer white","kitchen"
,,"Inspected Quantity","Inspected Quantity","cup & saucer white","kitchen"
,,"Bread & butter plate (white)",,"kitchen","bread & butter plate (white)"
,,"Inspected Quantity","Inspected Quantity","kitchen","bread & butter plate (white)"
,,"Dinner plate (white)",,"kitchen","dinner plate (white)"
,,"Inspected Quantity","Inspected Quantity","kitchen","dinner plate (white)"
,,"Mug (white)",,"kitchen","mug (white)"
,,"Inspected Quantity","Inspected Quantity","kitchen","mug (white)"
,,"Side plate (white)",,"kitchen","side plate (white)"
,,"Inspected Quantity","Inspected Quantity","kitchen","side plate (white)"
,,"1 cutlery tray for top drawer",,"kitchen","1 cutlery tray for top drawer"
,,"Inspected Quantity","Inspected Quantity","kitchen","1 cutlery tray for top drawer"
,,"Non-slip mat for other kitchen drawers",,"kitchen","non-slip mat for other kitchen drawers"
,,"Inspected Quantity","Inspected Quantity","kitchen","non-slip mat for other kitchen drawers"
,,"Salt & pepper grinders (white)",,"salt & pepper grinders (white)","kitchen"
,,"Inspected Quantity","Inspected Quantity","salt & pepper grinders (white)","kitchen"
,,"Plastic storage container, 2.7 litre, click and lock",,"kitchen","plastic storage container, 2.7 litre, click and lock"
,,"Inspected Quantity","Inspected Quantity","kitchen","plastic storage container, 2.7 litre, click and lock"
,,"2-cup coffee plunger",,"kitchen","2-cup coffee plunger"
,,"Inspected Quantity","Inspected Quantity","kitchen","2-cup coffee plunger"
,,"Glass water jug with lid",,"glass water jug with lid","kitchen"
