Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Level 0 - Overall Progress,,,,,
,Scope,,,Site QA,Level 0
,Rows,,,,
,,Level 0,dynamic,Level 0,Site QA
,Columns,,,,
,,Hanlon Plumbing,,QA - Hanlon Plumbing,
,,HelRimu,,"QA - HelRimu		",
,,Gilcom,,"QA - Gilcom		",
,,Rauland,,"QA - Rauland		",
,,Premier Fire,,"QA - Premier Fire		",
,,Data Talk,,"QA - Data Talk		",
,,Lamson,,"QA - Lamson		",
,,VAE,,"QA - VAE		",
,,Contego,,"QA - Contego		",
,,LCL,,"QA - LCL		",
,,,,,
Level 1 - Overall Progress,,,,,
,Scope,,,Site QA,Level 1
,Rows,,,,
,,Level 1,dynamic,Level 1,Site QA
,Columns,,,,
,,Hanlon Plumbing,,QA - Hanlon Plumbing,
,,HelRimu,,"QA - HelRimu		",
,,Gilcom,,"QA - Gilcom		",
,,Rauland,,"QA - Rauland		",
,,Premier Fire,,"QA - Premier Fire		",
,,Data Talk,,"QA - Data Talk		",
,,Lamson,,"QA - Lamson		",
,,VAE,,"QA - VAE		",
,,Contego,,"QA - Contego		",
,,LCL,,"QA - LCL		",
,,,,,
Level 2 - Overall Progress,,,,,
,Scope,,,Site QA,Level 2
,Rows,,,,
,,Level 2,dynamic,Level 2,Site QA
,Columns,,,,
,,Hanlon Plumbing,,QA - Hanlon Plumbing,
,,HelRimu,,"QA - HelRimu		",
,,Gilcom,,"QA - Gilcom		",
,,Rauland,,"QA - Rauland		",
,,Premier Fire,,"QA - Premier Fire		",
,,Data Talk,,"QA - Data Talk		",
,,Lamson,,"QA - Lamson		",
,,VAE,,"QA - VAE		",
,,Contego,,"QA - Contego		",
,,LCL,,"QA - LCL		",
,,,,,
Level 3 - Overall Progress,,,,,
,Scope,,,Site QA,Level 3
,Rows,,,,
,,Level 3,dynamic,Level 3,Site QA
,Columns,,,,
,,Hanlon Plumbing,,QA - Hanlon Plumbing,
,,HelRimu,,"QA - HelRimu		",
,,Gilcom,,"QA - Gilcom		",
,,Rauland,,"QA - Rauland		",
,,Premier Fire,,"QA - Premier Fire		",
,,Data Talk,,"QA - Data Talk		",
,,Lamson,,"QA - Lamson		",
,,VAE,,"QA - VAE		",
,,Contego,,"QA - Contego		",
,,LCL,,"QA - LCL		",
,,,,,
Level 4 - Overall Progress,,,,,
,Scope,,,Site QA,Level 4
,Rows,,,,
,,Level 4,dynamic,Level 4,Site QA
,Columns,,,,
,,Hanlon Plumbing,,QA - Hanlon Plumbing,
,,HelRimu,,"QA - HelRimu		",
,,Gilcom,,"QA - Gilcom		",
,,Rauland,,"QA - Rauland		",
,,Premier Fire,,"QA - Premier Fire		",
,,Data Talk,,"QA - Data Talk		",
,,Lamson,,"QA - Lamson		",
,,VAE,,"QA - VAE		",
,,Contego,,"QA - Contego		",
,,LCL,,"QA - LCL		",
,,,,,
Level 5 - Overall Progress,,,,,
,Scope,,,Site QA,Level 5
,Rows,,,,
,,Level 5,dynamic,Level 5,Site QA
,Columns,,,,
,,Hanlon Plumbing,,QA - Hanlon Plumbing,
,,HelRimu,,"QA - HelRimu		",
,,Gilcom,,"QA - Gilcom		",
,,Rauland,,"QA - Rauland		",
,,Premier Fire,,"QA - Premier Fire		",
,,Data Talk,,"QA - Data Talk		",
,,Lamson,,"QA - Lamson		",
,,VAE,,"QA - VAE		",
,,Contego,,"QA - Contego		",
,,LCL,,"QA - LCL		",
,,,,,
Level 6 - Overall Progress,,,,,
,Scope,,,Site QA,Level 6
,Rows,,,,
,,Level 6,dynamic,Level 6,Site QA
,Columns,,,,
,,Hanlon Plumbing,,QA - Hanlon Plumbing,
,,HelRimu,,"QA - HelRimu		",
,,Gilcom,,"QA - Gilcom		",
,,Rauland,,"QA - Rauland		",
,,Premier Fire,,"QA - Premier Fire		",
,,Data Talk,,"QA - Data Talk		",
,,Lamson,,"QA - Lamson		",
,,VAE,,"QA - VAE		",
,,Contego,,"QA - Contego		",
,,LCL,,"QA - LCL		",
