"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"79775255-fe71-4f66-859f-c277be0c1b5e/2","checklist-flat","Commissioning Workbook","","Commissioning Workbook",5,"88c044a4-4838-4159-80c0-15742d0c1d39"
"d471eca2-a912-4cd0-b31f-c69b36625174","checkpoint","Commissioning Workbook",,,,
"08bd0dee-31ba-5448-96ad-e64f29272d1c","note","Photo or PDF upload of Workbook required",,,,

"f070204f-76a6-416a-9b5e-7c68c3b7bc5c/3","checklist-flat","Equipment/System Commissioning Workbook","","Equipment Commissioning",169,"af0c13e8-02e4-4574-bfd0-d5c9899ff246"
"9d811228-72d7-433a-b8b1-de6056a4ef3c","checkpoint","Completion of all workbook Pre Commissioning Sheets (PCS)",,,,
"739a398e-2883-5e38-b11c-9f8acc03503a","note","Workbook portion completed",,,,
"2753729c-5269-5961-a4a5-e628780a0fda","dropdown","Percentage Completed","0%,25%,50%,75%,100%",,,
"636b1654-9ec0-5484-853b-45b8e4aecbd6","note","Photo or PDF upload of Workbook",,,,
"deeb00d3-2e81-4ee5-8b79-8e3727a9ed65","checkpoint","Completion of all workbook Commissioning Sheets (CRS)",,,,
"b1ef1814-ef55-567b-b4c5-f4d726cf90a9","note","Workbook portion completed",,,,
"dc67c195-8cf3-5049-8005-c26f3a53204f","dropdown","Percentage Completed","0%,25%,50%,75%,100%",,,
"6c2d8e2f-099e-589b-b81f-f64bf5a76595","note","Photo or PDF upload of Workbook",,,,

"0f36128e-5dbd-438d-96bc-b37e7e2c8429/1","checklist","FD Drop test","","FD Drop test",40,"38af4a1a-cbfb-4b5d-9e59-6c0badc82e15"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"e9418188-7474-4efc-afe0-0b12f5847416","checkpoint","Confirm drop test of F/Ds as per relevant schedule",,,,
"53e4ea8e-4770-5f76-be9d-cc6f53357483","note","Photo or PDF upload of relevant schedule required",,,,

"93374815-0a50-4b30-b816-276134130bc4/1","checklist","Fire Damper Drop Test","","Fire Damper Drop Test",0,"ad1b39c5-07b7-4811-866f-e38604be334c"
"9fc07955-47b4-4775-aaf4-7a62fde80eee","section","Details",,,,
"4c8b1541-45bb-4e66-ac97-935b104cdfb7","checkpoint-no-value","Enter Fire Damper designation",,,,
"a87064b9-a027-582d-a8e5-ff85076dcc2e","textbox","Fire Damper designation",,,,
"a386689e-7168-4dcb-bb93-ce7836bb72e9","checkpoint","Photo of ceiling access",,,,
"effb9543-3ec8-4966-a056-64452a146c97","checkpoint","Photo of duct access",,,,
"ea268f05-773e-4a27-928b-cf7defcfe4d5","checkpoint","Photo of hand touching linkage",,,,
"642bbfc5-9421-44db-b6b1-19bcfa414b70","checkpoint","Photo of Fire Damper blades dropped",,,,

